id,Model,weight,sources,perturbation,phenotype,expected_exists
20,N10,1.0,IL25_e=0; IL29_e=0; IL36_e=0; IL33_e=0; IL1_e=0; IFNA_e=0; IL7_e=0; DLL1=0; IL18_e=0,,TBET=0; IFNG=0; GATA3=1; FOXP3=0; TGFB=0; RORGT=1; IL17=0,true
21,N10,1.0,IL25_e=0; IL29_e=0; IL36_e=0; IL33_e=0; IL1_e=0; IFNA_e=0; IL7_e=0; DLL1=0; IL18_e=0,,TBET=1; IFNG=0; GATA3=0; IL4=0; FOXP3=1; TGFB=1; RORGT=0; IL17=0,true
22,N10,1.0,IL25_e=0; IL29_e=0; IL36_e=0; IL33_e=0; IL1_e=0; IFNA_e=0; IL7_e=0; DLL1=0; IL18_e=0,,TBET=0; IFNG=0; GATA3=0; IL4=0; FOXP3=1; TGFB=1; RORGT=1; IL17=0,true
23,N10,1.0,APC=0; IFNB_e=0; IFNG_e=0; IL2_e=0; IL4_e=0;  IL6_e=0; IL10_e=0; IL12_e=0; IL15_e=0; IL21_e=0; IL23_e=0; IL27_e=0; TGFB_e=0; IL25_e=0; IL29_e=0; IL36_e=0; IL33_e=0; IL1_e=0; IFNA_e=0; IL7_e=0; DLL1=0; IL18_e=0,,TBET=0; IFNG=0; GATA3=0; IL4=0; FOXP3=0; TGFB=0; RORGT=0; IL17=0,true
24,N10,1.0,APC=0; IFNB_e=0; IFNG_e=0; IL2_e=0; IL4_e=0;  IL6_e=0; IL10_e=0; IL12_e=0; IL15_e=0; IL21_e=0; IL23_e=0; IL27_e=0; TGFB_e=0; IL25_e=0; IL29_e=0; IL36_e=0; IL33_e=0; IL1_e=0; IFNA_e=0; IL7_e=0; DLL1=0; IL18_e=0,,NFAT=0; TBET=1; IFNG=0; GATA3=0; IL4=0; FOXP3=0; TGFB=0; RORGT=0; IL17=0,true
25,N10,1.0,APC=0; IFNB_e=0; IFNG_e=0; IL2_e=0; IL4_e=0;  IL6_e=0; IL10_e=0; IL12_e=0; IL15_e=0; IL21_e=0; IL23_e=0; IL27_e=0; TGFB_e=0; IL25_e=0; IL29_e=0; IL36_e=0; IL33_e=0; IL1_e=0; IFNA_e=0; IL7_e=0; DLL1=0; IL18_e=0,,NFAT=0; TBET=0; IFNG=0; GATA3=1; IL4=0; FOXP3=0; TGFB=0; RORGT=0; IL17=0,true
26,N10,1.0,APC=0; IFNB_e=0; IFNG_e=0; IL2_e=0; IL4_e=0;  IL6_e=0; IL10_e=0; IL12_e=0; IL15_e=0; IL21_e=0; IL23_e=0; IL27_e=0; TGFB_e=0; IL36_e=0; IL33_e=0; IL25_e=0; IL29_e=0; IL1_e=0; IFNA_e=0; IL18_e=0,,FOXP3=1,false
27,N10,1.0,APC=0; IFNB_e=0; IFNG_e=0; IL2_e=0; IL4_e=0;  IL6_e=0; IL10_e=0; IL12_e=0; IL15_e=0; IL21_e=0; IL23_e=0; IL27_e=0; TGFB_e=0; IL25_e=0; IL29_e=0; IL36_e=0; IL33_e=0; IL1_e=0; IFNA_e=0; IL7_e=0; DLL1=0; IL18_e=0,,RORGT=1,false
28,N10,1.0,APC=0; IFNB_e=0; IFNG_e=0; IL2_e=0; IL4_e=0;  IL6_e=0; IL10_e=0; IL12_e=0; IL15_e=0; IL21_e=0; IL23_e=0; IL27_e=0; TGFB_e=0; IL25_e=0; IL29_e=0; IL36_e=0; IL33_e=0; IL1_e=0; IFNA_e=0; IL7_e=0; DLL1=0; IL18_e=0,,NFAT=1,false
29,MSM,1.0,DLL1=0; IFNB_e=0; IL12_e=0; IL18_e=0; IL2_e=0; IL23_e=0; IL27_e=0; IL7_e=0; IL25_e=0; IL29_e=0; IL36_e=0; IL33_e=0; IL1_e=0; IFNA_e=0; IL15_e=0; IL21_e=0;  IFNG_e=0; IL10_e=0; IL4_e=0; IL6_e=0; TGFB_e=0; APC=0,TCR=0,TBET=0; IFNG=0; GATA3=0; IL4=0; FOXP3=0; TGFB=0; RORGT=0; IL17=0; CD4=1; CD8=1; THPOK=0; RUNX3=0; GZMB=0,true
30,MSM,1.0,DLL1=0; IFNB_e=0; IL12_e=0; IL18_e=0; IL2_e=0; IL23_e=0; IL27_e=0; IL7_e=0; IL25_e=0; IL29_e=0; IL36_e=0; IL33_e=0; IL1_e=0; IFNA_e=0; IL15_e=0; IL21_e=0;  IFNG_e=0; IL10_e=0; IL4_e=0; IL6_e=0; TGFB_e=0; APC=0,TCR=0,TBET=0; IFNG=0; GATA3=0; IL4=0; FOXP3=0; TGFB=0; RORGT=0; IL17=0; CD4=0; CD8=0; THPOK=0; RUNX3=0; GZMB=0,true
31,MSM,1.0,DLL1=0; IFNB_e=0; IL12_e=0; IL18_e=0; IL2_e=0; IL23_e=0; IL27_e=0; IL7_e=0; IL25_e=0; IL29_e=0; IL36_e=0; IL33_e=0; IL1_e=0; IFNA_e=0; IL15_e=0; IL21_e=0;  IFNG_e=0; IL10_e=0; IL4_e=0; IL6_e=0; TGFB_e=0; APC=0,TCR=0,TBET=0; IFNG=0; GATA3=0; IL4=0; FOXP3=0; TGFB=0; RORGT=0; IL17=0; CD4=1; CD8=0; THPOK=1; RUNX3=0; GZMB=0,true
32,MSM,1.0,DLL1=0; IFNB_e=0; IL12_e=0; IL18_e=0; IL2_e=0; IL23_e=0; IL27_e=0; IL7_e=0; IL25_e=0; IL29_e=0; IL36_e=0; IL33_e=0; IL1_e=0; IFNA_e=0; IL15_e=0; IL21_e=0;  IFNG_e=0; IL10_e=0; IL4_e=0; IL6_e=0; TGFB_e=0; APC=0,TCR=0,TBET=1; IFNG=1; GATA3=0; IL4=0; FOXP3=0; TGFB=0; RORGT=0; IL17=0; CD4=1; CD8=0; THPOK=1; RUNX3=0; GZMB=0,true
33,MSM,1.0,DLL1=0; IFNB_e=0; IL12_e=0; IL18_e=0; IL2_e=0; IL23_e=0; IL27_e=0; IL7_e=0; IL25_e=0; IL29_e=0; IL36_e=0; IL33_e=0; IL1_e=0; IFNA_e=0; IL15_e=0; IL21_e=0;  IFNG_e=0; IL10_e=0; IL4_e=0; IL6_e=0; TGFB_e=0; APC=0,TCR=0,TBET=0; IFNG=0; GATA3=1; IL4=1; FOXP3=0; TGFB=0; RORGT=0; IL17=0; CD4=1; CD8=0; THPOK=1; RUNX3=0; GZMB=0,true
34,MSM,1.0,DLL1=0; IFNB_e=0; IL12_e=0; IL18_e=0; IL2_e=0; IL23_e=0; IL27_e=0; IL7_e=0; IL25_e=0; IL29_e=0; IL36_e=0; IL33_e=0; IL1_e=0; IFNA_e=0; IL15_e=0; IL21_e=0;  IFNG_e=0; IL10_e=0; IL4_e=0; IL6_e=0; TGFB_e=0; APC=0,TCR=0,TBET=0; IFNG=0; GATA3=0; IL4=0; FOXP3=1; TGFB=1; RORGT=0; IL17=0; CD4=1; CD8=0; THPOK=1; RUNX3=0; GZMB=0,true
35,MSM,1.0,DLL1=0; IFNB_e=0; IL12_e=0; IL18_e=0; IL2_e=0; IL23_e=0; IL27_e=0; IL7_e=0; IL25_e=0; IL29_e=0; IL36_e=0; IL33_e=0; IL1_e=0; IFNA_e=0; IL15_e=0; IL21_e=0;  IFNG_e=0; IL10_e=0; IL4_e=0; IL6_e=0; TGFB_e=0; APC=0,TCR=0,TBET=0; IFNG=0; GATA3=0; IL4=0; FOXP3=0; TGFB=0; RORGT=1; IL17=1; CD4=1; CD8=0; THPOK=1; RUNX3=0; GZMB=0,true
36,MSM,1.0,DLL1=0; IFNB_e=0; IL12_e=0; IL18_e=0; IL2_e=0; IL23_e=0; IL27_e=0; IL7_e=0; IL25_e=0; IL29_e=0; IL36_e=0; IL33_e=0; IL1_e=0; IFNA_e=0; IL15_e=0; IL21_e=0;  IFNG_e=0; IL10_e=0; IL4_e=0; IL6_e=0; TGFB_e=0; APC=0,TCR=0,TBET=0; IFNG=0; GATA3=0; IL4=0; FOXP3=0; TGFB=0; RORGT=0; IL17=0; CD4=0; CD8=1; THPOK=0; RUNX3=1; GZMB=0,true
37,MSM,1.0,DLL1=0; IFNB_e=0; IL12_e=0; IL18_e=0; IL2_e=0; IL23_e=0; IL27_e=0; IL7_e=0; IL25_e=0; IL29_e=0; IL36_e=0; IL33_e=0; IL1_e=0; IFNA_e=0; IL15_e=0; IL21_e=0;  IFNG_e=0; IL10_e=0; IL4_e=0; IL6_e=0; TGFB_e=0; APC=0,TCR=0,TBET=0; IFNG=1; GATA3=0; IL4=0; FOXP3=0; TGFB=0; RORGT=0; IL17=0; CD4=0; CD8=1; THPOK=0; RUNX3=1; GZMB=1,true
38,AJ,1.0,IL7_e=0; DLL1=0,,TBET=0; IFNG=0; GATA3=0; IL4=0; FOXP3=0; TGFB=0; RORGT=0; IL17=0; BCL6=0; PU1=0; STAT3=0; IL5=0; IL9=0; IL13=0; IL21=0; IL22=0,true
39,AJ,1.0,IL7_e=0; DLL1=0,,TBET=1; IFNG=1; GATA3=0; IL4=0; FOXP3=0; TGFB=0; RORGT=0; IL17=0; BCL6=0,true
40,AJ,1.0,IL7_e=0; DLL1=0,,TBET=0; IFNG=0; GATA3=1; IL4=1; FOXP3=0; TGFB=0; RORGT=0; IL17=0; BCL6=0; IL5=1; IL13=1,true
41,AJ,1.0,IL7_e=0; DLL1=0,,TBET=0; IFNG=0; GATA3=0; IL4=0; FOXP3=1; TGFB=1; RORGT=0; IL17=0; BCL6=0,true
42,AJ,1.0,IL7_e=0; DLL1=0,,TBET=0; IFNG=0; GATA3=0; IL4=0; FOXP3=0; TGFB=0; RORGT=1; IL17=1; BCL6=0,true 
43,AJ,1.0,IL7_e=0; DLL1=0,,TBET=0; GATA3=0; IL4=0; FOXP3=0; RORGT=0; IL17=0; BCL6=1; IL21=1,true
44,AJ,1.0,IL7_e=0; DLL1=0,,TBET=0; IFNG=0; GATA3=0; IL4=0; FOXP3=0; RORGT=0; IL17=0; BCL6=0; PU1=1; IL9=1,true
45,AJ,1.0,IL7_e=0; DLL1=0,,TBET=0; IFNG=0; GATA3=0; IL4=0; FOXP3=0; RORGT=0; IL17=0; BCL6=0; STAT3=1; IL22=1,true
46,MS15,1.0,TGFB_e=0; IFNG_e=0; IL2_e=0; IL4_e=0; IL10_e=0; IL21_e=0; APC=1; IL36_e=0; IL33_e=0; IL1_e=0; IFNA_e=0; IL7_e=0; DLL1=0; IL15_e=0; IL25_e=0; IL29_e=0; IL18_e=0; IFNB_e=0; IL23_e=0; IL27_e=0; IL6_e=0,TCR=1,TBET=0; GATA3=0; FOXP3=0; RORGT=0; BCL6=0; IL9=0,true
47,MS15,1.0,TGFB_e=0; IFNG_e=1; IL2_e=0; IL4_e=0; IL10_e=0; IL21_e=0; APC=1; IL36_e=0; IL33_e=0; IL1_e=0; IFNA_e=0; IL7_e=0; DLL1=0; IL15_e=0; IL25_e=0; IL29_e=0; IL18_e=0; IFNB_e=0; IL23_e=0; IL27_e=0; IL6_e=0,TCR=1,TBET=1; IFNG=1; GATA3=0; IL4=0; FOXP3=0; RORGT=0; BCL6=0; IL9=0,true
