id	hierarchy	fixes	observed_node	experimental_outcome	predict_value	attractor_agreement	score
70	2	Food=1,HSF-1_basal=1,HSF-1_high=1,oxidative_stress=0,	mxl-3_high	ON	1.0	1.0	1.0
72	1	Food=1,hlh-30_basal=0,oxidative_stress=0,	mxl-3_high	OFF	0.0	1.0	0.5
56	0	Food=1,oxidative_stress=0,	MXL-3_basal	ON	1.0	1.0	0.5
59	1	Food=0,oxidative_stress=0,	MXL-3_basal	OFF	0.0	1.0	1.0
61	1	Food=1,mTORC1_basal=0,oxidative_stress=0,	MXL-3_basal	OFF	0.0	1.0	1.0
62	1	Food=1,HSF-1_basal=0,oxidative_stress=0,	MXL-3_basal	OFF	0.0	1.0	1.0
63	1	DAF-16_basal=0,Food=1,oxidative_stress=0,	MXL-3_basal	ON	0.0	0.0	0.0
57	0	Food=1,oxidative_stress=0,	MXL-3_high	OFF	0.0	1.0	0.5
58	1	Food=1,oxidative_stress=1,	MXL-3_high	ON	1.0	1.0	1.0
64	1	DAF-16_basal=0,Food=1,oxidative_stress=0,	MXL-3_high	OFF	0.0	1.0	0.5
60	1	Food=1,oxidative_stress=1,	mTORC1_high	ON	1.0	1.0	1.0
total	69.5
max	81.0
per	85.80246913580247%
