Regulator,Target,Sign,Model,Classification,Confidence rank,Constraint
RB,E2F,negative,"MCF7, T47D, TGEN",direct,1,regulates
RB,E2F_2,negative,"MCF7, T47D, TGEN",direct,1,
RB,E2F_3,negative,"MCF7, T47D, TGEN",direct,1,
RB,p53,positive,"BL, HL, SL",indirect,2,
RB,pRB,negative,merge,,0,regulates
RHEB,mTORC1,positive,"MCF7, T47D, TGEN",direct,1,regulates
RPS6,CyclinD,positive,BL,indirect,2,
RPS6,CyclinD_2,positive,BL,indirect,2,
RPS6,NFKB,positive,SL,correlation,3,
RPS6,RAF1,positive,SL,assumption,4,
RPS6,RAF1_2,positive,SL,assumption,4,
Rb_T,pRB,negative,Z21,assumption,4,
Rb_T,pRB_2,negative,Z21,assumption,4,
Rb_T,pRB_3,negative,Z21,assumption,4,
S63845,MCL1,negative,Z21,direct,1,regulates
S6K,CyclinD,positive,HL,indirect,2,
S6K,CyclinD_2,positive,HL,indirect,2,
S6K,IRS1,negative,"MCF7, T47D, TGEN",direct,1,regulates
S6K,NEDD4L,negative,TGEN,assumption,4,
S6K,RPS6,positive,"BL, HL, SL",direct,1,regulates
S6K,Translation,positive,"Z17, Z21",indirect,2,
SGK1,CREB1,positive,T47D,direct,1,regulates
SGK1,FOXO1,negative,"MCF7, T47D, TGEN",direct,1,regulates
SGK1,FOXO3,negative,"Z17, Z21",direct,1,regulates
SGK1,NEDD4L,negative,"MCF7, T47D, TGEN",direct,1,regulates
SGK1,TSC2,negative,"Z17, Z21",direct,1,regulates
SGK1_T,SGK1,positive,"Z17, Z21",direct,1,necessary
SOS1,HRAS,positive,"MCF7, T47D, TGEN",direct,1,regulates
SOS1,RAS,positive,"MCF7, T47D, TGEN",direct,1,regulates
SOS1,RAS_2,positive,"MCF7, T47D, TGEN",direct,1,
SOS1,RAS_3,positive,"MCF7, T47D, TGEN",direct,1,
SRC,ABL1,positive,"MCF7, TGEN",direct,1,regulates
SRC,CASP8,negative,"MCF7, T47D, TGEN",direct,1,regulates
SRC,CTNNB1,positive,"MCF7, TGEN",direct,1,regulates
SRC,GRB2,positive,"MCF7, T47D, TGEN",direct,1,regulates
SRC,IGF1R,positive,"MCF7, TGEN",direct,1,regulates
SRC,IGF1R_2,positive,"MCF7, TGEN",direct,1,
SRC,STAT1,positive,"MCF7, T47D, TGEN",direct,1,regulates
SRC,STAT3,positive,"MCF7, T47D, TGEN",direct,1,regulates
SRC,STAT5,positive,"MCF7, TGEN",direct,1,regulates
STAT1,GATA3,negative,"MCF7, T47D, TGEN",direct in the network sense,1,regulates
STAT3,IL6R,positive,T47D,direct,1,regulates
STAT3,MYC,positive,"MCF7, T47D, TGEN",direct,1,regulates
STAT3,MYC_2,positive,"MCF7, T47D, TGEN",direct,1,
STAT5,IL8,positive,"MCF7, T47D, TGEN",direct,1,regulates
STAT5,PIM,positive,"MCF7, TGEN",direct,1,regulates
STK11,PRKAA2,positive,"MCF7, T47D, TGEN",direct,1,regulates
TCF7L2,CYCLINDc,positive,"MCF7, T47D, TGEN",indirect,2,
TCF7L2,CYCLINDc_2,positive,"MCF7, T47D, TGEN",indirect,2,
TCF7L2,PAK1,positive,"MCF7, T47D, TGEN",assumption,4,
TEAD1,CYCLINDc,positive,"MCF7, T47D, TGEN",indirect,2,
TEAD1,CYCLINDc_2,positive,"MCF7, T47D, TGEN",indirect,2,
TRADD,FADD,positive,"MCF7, T47D, TGEN",direct,1,regulates
TSC2,RHEB,negative,"MCF7, T47D, TGEN",direct,1,regulates
TWIST1,NF1,negative,"MCF7, T47D, TGEN",assumption,4,
Trametinib,MEK,negative,"Z17, Z21",direct,1,regulates
Trametinib,MEK_2,negative,"Z17, Z21",direct,1,
Translation,MCL1,positive,Z17,direct,1,regulates
Translation,MYC_targets,positive,Z21,direct,1,regulates
Translation,MYC_targets_2,positive,Z21,direct,1,
Translation,Proliferation,positive,Z17,assumption,4,
Translation,Proliferation_2,positive,Z17,assumption,4,
Translation,Proliferation_3,positive,Z17,assumption,4,
Translation,Proliferation_4,positive,Z17,assumption,4,
WNT1,CTNNB1,positive,"MCF7, T47D, TGEN",indirect,2,
WNT1,PRKACA,positive,"MCF7, T47D, TGEN",assumption,4,
YAP1,CTNNB1,positive,"MCF7, TGEN",correlation,3,
YAP1,TEAD1,positive,"MCF7, T47D, TGEN",direct,1,regulates
cycE_CDK2,pRB,positive,Z17,direct,1,regulates
cycE_CDK2,pRB_2,positive,"Z17, Z21",direct,1,
cycE_CDK2,pRB_3,positive,"Z17, Z21",direct,1,
cycE_CDK2_T,cycE_CDK2,positive,"Z17, Z21",direct,1,necessary
erlotinib,EGFR,negative,"BL, BS, HL, HS, SL, SS",direct,1,regulates
erlotinib,HER2,negative,"BL, BS, HL, HS, SL, SS",direct,1,regulates
erlotinib,HER3,negative,"BL, BS, HL, HS, SL, SS",indirect,2,
erlotinib,HER3_2,negative,"BL, BS, HL, HS, SL, SS",indirect,2,
mTORC1,EIF4EBP1,negative,"MCF7, T47D, TGEN",direct,1,regulates
mTORC1,S6K,positive,"BS, HS, MCF7, SS, T47D, TGEN, Z17, Z21",direct,1,regulates
mTORC2_ic,SGK1,positive,"MCF7, T47D, TGEN, Z17, Z21",direct,1,necessary
mTORC2_pm,AKT,positive,"MCF7, T47D, TGEN, Z17, Z21",direct,1,regulates
p21,p21_p27,positive,merge,,0,regulates
p21_T,p21,positive,merge,direct,1,regulates
p21_T,p21_T_2,positive,Z21,,0,necessary
p21_T,p21_p27_T,positive,Z21,,0,regulates
p21_T_2,p21_p27_T,positive,Z21,,0,
p21_p27,cycE_CDK2,negative,"Z17, Z21",direct,1,regulates
p21_p27_T,p21_p27,positive,"Z17, Z21",direct,1,regulates
p27_T,p21_p27_T,positive,Z21,,0,regulates
p38,p53,positive,"BL, HL",direct,1,regulates
p53,BAK1,positive,"MCF7, T47D, TGEN",direct,1,regulates
p53,BAX,positive,"MCF7, T47D, TGEN",direct,1,regulates
p53,CyclinB1,negative,"BL, HL, SL",direct,1,regulates
p53,FAS,positive,"MCF7, T47D, TGEN",direct,1,regulates
p53,GSK3B,positive,"BL, HL, SL",direct,1,regulates
p53,MDM2,positive,"MCF7, T47D, TGEN",direct,1,regulates
p53,NF1,positive,"MCF7, TGEN",indirect,2,
p53,p53,positive,"BL, HL, SL",direct,1,regulates
pRB,RB,negative,merge,,0,regulates
pRB,pRB_2,positive,"Z17, Z21",,0,necessary
pRB_2,E2F_2,positive,"Z17, Z21",indirect,2,
pRB_2,E2F_3,positive,"Z17, Z21",indirect,2,
pRB_2,pRB_3,positive,Z17,,0,necessary
pRB_3,E2F_2,positive,Z21,indirect,2,
pRB_3,E2F_3,positive,"Z17, Z21",indirect,2,
pertuzumab,HER2,negative,"BL, BS, HL, HS, SL, SS",direct,1,regulates
pertuzumab,HER2HER3c,negative,"BL, BS, HL, HS, SL, SS",direct,1,regulates
pertuzumab,HER2HER3c_2,negative,"BL, BS, HL, HS, SL, SS",direct,1,
pertuzumab,mTORC1,positive,BS,indirect,2,
stimulus,AKT,positive,SL,correlation,3,
stimulus,EGFR,positive,"BL, HL, SL",correlation,3,
stimulus,HER2,positive,"BL, HL, SL",correlation,3,
stimulus,HER3,positive,"BL, HL, SL",correlation,3,
stimulus,HER3_2,positive,"BL, HL, SL",correlation,3,
trastuzumab,HER2,negative,"BL, BS, HL, HS, SL, SS",direct,1,regulates
