ID	Score	Source	Perturbation	Observed node	Categorization
1	1.0		CLN3 KO,SBF CA	HCM1	OFF
2	1.0		SFF KO	SWI5	OFF
3	1.0		SFF KO	YHP1	OFF
4	1.0			ACE2	OFF
5	1.0			CLN3	OFF
6	1.0			HCM1	OFF
7	1.0			MBF	OFF
8	1.0			SBF	OFF
9	1.0			SFF	OFF
10	1.0			SWI5	OFF
11	1.0			YHP1	OFF
12	1.0			YOX1	OFF
13	1.0		CLN3 CA	ACE2	OFF
14	1.0		CLN3 CA	MBF	ON
15	1.0		CLN3 CA	SBF	OFF
16	1.0		CLN3 CA	SWI5	OFF
17	1.0		CLN3 CA	YHP1	ON
18	1.0		HCM1 CA	CLN3	OFF
19	1.0		HCM1 CA	MBF	OFF
20	1.0		HCM1 CA	YHP1	OFF
21	1.0		SFF CA	SBF	Some
22	1.0		SFF CA	YHP1	Some
23	1.0		CLN3 KO	ACE2	OFF
24	1.0		CLN3 KO	HCM1	OFF
25	1.0		CLN3 KO	MBF	OFF
26	1.0		CLN3 KO	SFF	OFF
27	1.0		MBF CA	HCM1	OFF
28	1.0		MBF CA	SWI5	OFF
29	1.0		MBF CA	YHP1	ON
30	1.0		MBF CA	YOX1	OFF
31	1.0		ACE2 CA,HCM1 CA	MBF	OFF
32	1.0		ACE2 CA,HCM1 CA	SBF	OFF
33	1.0		MBF CA,YHP1 KO	SFF	Some
34	1.0		SFF KO,SWI5 CA	MBF	OFF
35	1.0		SBF KO	SWI5	OFF
36	1.0		ACE2 CA	CLN3	OFF
37	1.0		ACE2 CA	MBF	OFF
38	1.0		ACE2 CA	SBF	OFF
39	1.0		ACE2 CA	SFF	OFF
41	1.0		ACE2 CA	YHP1	OFF
42	1.0		ACE2 CA	YOX1	OFF
43	1.0		SBF KO,SFF CA,YOX1 KO	CLN3	Some
44	1.0		SFF KO,YOX1 KO	HCM1	OFF
45	1.0		SBF CA,YOX1 KO	HCM1	OFF
46	1.0		ACE2 KO,CLN3 KO,SWI5 KO	SBF	OFF
47	1.0		YHP1 KO	CLN3	OFF
48	1.0		YHP1 KO	HCM1	OFF
49	1.0		YHP1 KO	MBF	OFF
50	1.0		YHP1 KO	SBF	OFF
51	1.0		YHP1 KO	SWI5	OFF
52	1.0		YHP1 KO	YOX1	OFF
53	1.0		YHP1 CA	CLN3	OFF
54	1.0		YHP1 CA	MBF	OFF
55	1.0		YHP1 CA	SFF	OFF
56	1.0		SWI5 KO	ACE2	OFF
57	1.0		SWI5 KO	CLN3	OFF
58	1.0		SWI5 KO	MBF	OFF
59	1.0		SWI5 KO	SBF	OFF
60	1.0		SWI5 KO	YOX1	OFF
61	1.0		YOX1 KO	ACE2	OFF
62	1.0		YOX1 KO	SBF	OFF
63	1.0		YOX1 KO	YHP1	OFF
64	1.0		CLN3 CA,SBF KO,YOX1 KO	SFF	OFF
65	1.0		SBF CA	YOX1	OFF
66	1.0		SBF KO,SWI5 KO,YOX1 CA	YHP1	OFF
67	1.0		SBF CA,SWI5 KO	YHP1	ON
68	1.0		SFF CA,YHP1 CA	SBF	OFF
69	1.0		MBF KO	ACE2	OFF
70	1.0		MBF KO	SBF	OFF
71	1.0		HCM1 KO,YHP1 CA	ACE2	OFF
72	1.0		HCM1 KO,YHP1 CA	MBF	OFF
73	1.0		HCM1 KO,YHP1 CA	SFF	OFF
74	1.0		HCM1 KO	SFF	OFF
75	1.0		MBF KO,SFF CA	YOX1	OFF
76	1.0		SWI5 CA	HCM1	OFF
77	1.0		YHP1 CA,YOX1 CA	CLN3	OFF
78	1.0		YHP1 CA,YOX1 CA	MBF	OFF
79	1.0		SBF CA,SFF CA	ACE2	ON
80	1.0		SFF CA,YHP1 KO	ACE2	ON
81	1.0		SFF CA,YHP1 KO	MBF	Some
82	1.0		SBF KO,YHP1 KO	SFF	OFF
83	1.0		ACE2 CA,SBF KO,SFF KO,SWI5 CA	CLN3	Some
84	1.0		ACE2 CA,SBF KO,SFF KO,SWI5 CA	YHP1	Some
85	1.0		CLN3 CA,SBF CA	ACE2	ON
86	1.0		CLN3 CA,SBF CA	MBF	ON
87	1.0		CLN3 CA,SBF CA	YOX1	ON
88	1.0		ACE2 CA,YHP1 KO	SBF	OFF
89	1.0		ACE2 KO	HCM1	OFF
90	1.0		ACE2 KO	SWI5	OFF
91	1.0		ACE2 KO	YHP1	OFF
