ID	Score	Source	Perturbation	Observed node	Categorization
1	1.0	galactose_ext=1,glucose_ext=1,maltose_ext=0	GAL4 CA	HXT2	OFF
2	1.0	galactose_ext=1,glucose_ext=1,maltose_ext=0	GAL4 CA	SUC2	OFF
3	1.0	galactose_ext=1,glucose_ext=1,maltose_ext=0	GAL4 CA	MALS	OFF
4	1.0	galactose_ext=1,glucose_ext=1,maltose_ext=0	GAL4 CA	HXT4	OFF
5	1.0	galactose_ext=1,glucose_ext=1,maltose_ext=0	GAL4 CA	HXT5	ON
6	1.0	galactose_ext=1,glucose_ext=1,maltose_ext=0	GAL4 CA	number_4ORFs	OFF
7	1.0	galactose_ext=1,glucose_ext=1,maltose_ext=0	GAL4 CA	SFC1	OFF
8	1.0	galactose_ext=1,glucose_ext=1,maltose_ext=0	GAL4 CA	Gal11p	ON
9	1.0	galactose_ext=1,glucose_ext=1,maltose_ext=0	GAL4 CA	HXT1	ON
10	1.0	galactose_ext=1,glucose_ext=1,maltose_ext=0	GAL4 CA	PCK1	OFF
11	1.0	galactose_ext=1,glucose_ext=1,maltose_ext=0	GAL4 CA	MEL1	OFF
12	1.0	galactose_ext=1,glucose_ext=1,maltose_ext=0	GAL4 CA	HXT8	ON
13	1.0	galactose_ext=1,glucose_ext=1,maltose_ext=0	GAL4 CA	GAL7	ON
14	1.0	galactose_ext=1,glucose_ext=1,maltose_ext=0	GAL4 CA	MLS1	OFF
15	1.0	galactose_ext=1,glucose_ext=1,maltose_ext=0	GAL4 CA	GAL10	ON
16	1.0	galactose_ext=1,glucose_ext=1,maltose_ext=0	GAL4 CA	ACS1	OFF
17	1.0	galactose_ext=1,glucose_ext=1,maltose_ext=0	GAL4 CA	ICL1	OFF
18	1.0	galactose_ext=1,glucose_ext=1,maltose_ext=0	GAL4 CA	IDP2	OFF
19	1.0	galactose_ext=1,glucose_ext=1,maltose_ext=0	GAL4 CA	Mig3p	ON
20	1.0	galactose_ext=1,glucose_ext=1,maltose_ext=0	GAL4 CA	HXT3	ON
21	1.0	galactose_ext=1,glucose_ext=1,maltose_ext=0	GAL4 CA	MDH2	OFF
22	1.0	galactose_ext=1,glucose_ext=1,maltose_ext=0	GAL4 CA	FBP1	OFF
23	1.0	galactose_ext=1,glucose_ext=1,maltose_ext=0	GAL4 CA	GAL5	OFF
24	1.0	galactose_ext=1,glucose_ext=1,maltose_ext=0	GAL4 CA	JEN1	OFF
25	1.0	galactose_ext=0,glucose_ext=1,maltose_ext=0	MALT CA,MIG3 KO	HXT2	OFF
26	1.0	galactose_ext=0,glucose_ext=1,maltose_ext=0	MALT CA,MIG3 KO	SUC2	OFF
27	1.0	galactose_ext=0,glucose_ext=1,maltose_ext=0	MALT CA,MIG3 KO	MALS	OFF
28	1.0	galactose_ext=0,glucose_ext=1,maltose_ext=0	MALT CA,MIG3 KO	HXT4	OFF
29	1.0	galactose_ext=0,glucose_ext=1,maltose_ext=0	MALT CA,MIG3 KO	HXT5	ON
30	1.0	galactose_ext=0,glucose_ext=1,maltose_ext=0	MALT CA,MIG3 KO	number_4ORFs	OFF
31	1.0	galactose_ext=0,glucose_ext=1,maltose_ext=0	MALT CA,MIG3 KO	SFC1	OFF
32	1.0	galactose_ext=0,glucose_ext=1,maltose_ext=0	MALT CA,MIG3 KO	Gal11p	ON
33	1.0	galactose_ext=0,glucose_ext=1,maltose_ext=0	MALT CA,MIG3 KO	HXT1	ON
34	1.0	galactose_ext=0,glucose_ext=1,maltose_ext=0	MALT CA,MIG3 KO	PCK1	OFF
35	1.0	galactose_ext=0,glucose_ext=1,maltose_ext=0	MALT CA,MIG3 KO	MEL1	OFF
36	1.0	galactose_ext=0,glucose_ext=1,maltose_ext=0	MALT CA,MIG3 KO	HXT8	ON
37	1.0	galactose_ext=0,glucose_ext=1,maltose_ext=0	MALT CA,MIG3 KO	GAL7	OFF
38	1.0	galactose_ext=0,glucose_ext=1,maltose_ext=0	MALT CA,MIG3 KO	MLS1	OFF
39	1.0	galactose_ext=0,glucose_ext=1,maltose_ext=0	MALT CA,MIG3 KO	GAL10	OFF
40	1.0	galactose_ext=0,glucose_ext=1,maltose_ext=0	MALT CA,MIG3 KO	ACS1	OFF
41	1.0	galactose_ext=0,glucose_ext=1,maltose_ext=0	MALT CA,MIG3 KO	ICL1	OFF
42	1.0	galactose_ext=0,glucose_ext=1,maltose_ext=0	MALT CA,MIG3 KO	IDP2	OFF
43	1.0	galactose_ext=0,glucose_ext=1,maltose_ext=0	MALT CA,MIG3 KO	Mig3p	OFF
44	1.0	galactose_ext=0,glucose_ext=1,maltose_ext=0	MALT CA,MIG3 KO	HXT3	ON
45	1.0	galactose_ext=0,glucose_ext=1,maltose_ext=0	MALT CA,MIG3 KO	MDH2	OFF
46	1.0	galactose_ext=0,glucose_ext=1,maltose_ext=0	MALT CA,MIG3 KO	FBP1	OFF
47	1.0	galactose_ext=0,glucose_ext=1,maltose_ext=0	MALT CA,MIG3 KO	GAL5	OFF
48	1.0	galactose_ext=0,glucose_ext=1,maltose_ext=0	MALT CA,MIG3 KO	JEN1	OFF
49	1.0	galactose_ext=1,glucose_ext=0,maltose_ext=1	MTH1 CA	HXT2	OFF
50	1.0	galactose_ext=1,glucose_ext=0,maltose_ext=1	MTH1 CA	SUC2	ON
51	1.0	galactose_ext=1,glucose_ext=0,maltose_ext=1	MTH1 CA	MALS	ON
52	1.0	galactose_ext=1,glucose_ext=0,maltose_ext=1	MTH1 CA	HXT4	OFF
53	1.0	galactose_ext=1,glucose_ext=0,maltose_ext=1	MTH1 CA	HXT5	OFF
54	1.0	galactose_ext=1,glucose_ext=0,maltose_ext=1	MTH1 CA	Cat8p	ON
55	1.0	galactose_ext=1,glucose_ext=0,maltose_ext=1	MTH1 CA	number_4ORFs	OFF
56	1.0	galactose_ext=1,glucose_ext=0,maltose_ext=1	MTH1 CA	SFC1	ON
57	1.0	galactose_ext=1,glucose_ext=0,maltose_ext=1	MTH1 CA	Gal11p	ON
58	1.0	galactose_ext=1,glucose_ext=0,maltose_ext=1	MTH1 CA	HXT1	OFF
59	1.0	galactose_ext=1,glucose_ext=0,maltose_ext=1	MTH1 CA	PCK1	ON
60	1.0	galactose_ext=1,glucose_ext=0,maltose_ext=1	MTH1 CA	MEL1	ON
61	1.0	galactose_ext=1,glucose_ext=0,maltose_ext=1	MTH1 CA	HXT8	OFF
62	1.0	galactose_ext=1,glucose_ext=0,maltose_ext=1	MTH1 CA	GAL7	ON
63	1.0	galactose_ext=1,glucose_ext=0,maltose_ext=1	MTH1 CA	MLS1	ON
64	1.0	galactose_ext=1,glucose_ext=0,maltose_ext=1	MTH1 CA	GAL10	ON
65	1.0	galactose_ext=1,glucose_ext=0,maltose_ext=1	MTH1 CA	ACS1	ON
66	1.0	galactose_ext=1,glucose_ext=0,maltose_ext=1	MTH1 CA	ICL1	ON
67	1.0	galactose_ext=1,glucose_ext=0,maltose_ext=1	MTH1 CA	IDP2	ON
68	1.0	galactose_ext=1,glucose_ext=0,maltose_ext=1	MTH1 CA	Mig3p	OFF
69	1.0	galactose_ext=1,glucose_ext=0,maltose_ext=1	MTH1 CA	HXT3	OFF
70	1.0	galactose_ext=1,glucose_ext=0,maltose_ext=1	MTH1 CA	MDH2	ON
71	1.0	galactose_ext=1,glucose_ext=0,maltose_ext=1	MTH1 CA	FBP1	ON
72	1.0	galactose_ext=1,glucose_ext=0,maltose_ext=1	MTH1 CA	GAL5	ON
73	1.0	galactose_ext=1,glucose_ext=0,maltose_ext=1	MTH1 CA	JEN1	ON
74	1.0	galactose_ext=1,glucose_ext=1,maltose_ext=1	Gal80p CA	HXT2	OFF
75	1.0	galactose_ext=1,glucose_ext=1,maltose_ext=1	Gal80p CA	SUC2	OFF
76	1.0	galactose_ext=1,glucose_ext=1,maltose_ext=1	Gal80p CA	MALS	OFF
77	1.0	galactose_ext=1,glucose_ext=1,maltose_ext=1	Gal80p CA	HXT4	OFF
78	1.0	galactose_ext=1,glucose_ext=1,maltose_ext=1	Gal80p CA	HXT5	ON
79	1.0	galactose_ext=1,glucose_ext=1,maltose_ext=1	Gal80p CA	number_4ORFs	OFF
80	1.0	galactose_ext=1,glucose_ext=1,maltose_ext=1	Gal80p CA	SFC1	OFF
81	1.0	galactose_ext=1,glucose_ext=1,maltose_ext=1	Gal80p CA	Gal11p	ON
82	1.0	galactose_ext=1,glucose_ext=1,maltose_ext=1	Gal80p CA	HXT1	ON
