ID	Score	Source	Perturbation	Observed node	Categorization
1	1.0		YOX1 KO	MBF	OFF
2	1.0		YOX1 KO	ACE2	OFF
3	1.0		CLN3 CA,MBF CA	SWI5	OFF
4	1.0		ACE2 KO	YOX1	OFF
5	1.0		ACE2 KO	SWI5	OFF
6	1.0		ACE2 KO	YHP1	OFF
7	1.0			HCM1	OFF
8	1.0			ACE2	OFF
9	1.0			SFF	OFF
10	1.0			SBF	OFF
11	1.0			YHP1	OFF
12	1.0			YOX1	OFF
13	1.0			MBF	OFF
14	1.0			SWI5	OFF
15	1.0			CLN3	OFF
16	1.0		SFF CA	ACE2	ON
17	1.0		SFF CA	YHP1	Some
18	1.0		SFF CA	CLN3	Some
19	1.0		SFF CA	YOX1	Some
20	1.0		SFF CA	MBF	Some
21	1.0		SFF CA	SWI5	ON
22	1.0		SFF CA	SBF	Some
23	1.0		YOX1 CA	MBF	OFF
24	1.0		HCM1 CA	YOX1	OFF
25	1.0		HCM1 CA	SWI5	OFF
26	1.0		HCM1 CA	YHP1	OFF
27	1.0		HCM1 CA	CLN3	OFF
28	1.0		CLN3 KO	MBF	OFF
29	1.0		MBF CA	HCM1	OFF
30	1.0		MBF CA	ACE2	OFF
31	1.0		MBF CA	SBF	OFF
32	1.0		MBF CA	CLN3	OFF
33	1.0		SWI5 CA	SFF	OFF
34	1.0		SWI5 CA	YOX1	OFF
35	1.0		SWI5 CA	MBF	OFF
36	1.0		SWI5 CA	HCM1	OFF
37	1.0		CLN3 KO,YOX1 CA	SBF	OFF
38	1.0		SBF CA	YOX1	OFF
39	1.0		SBF CA	SWI5	OFF
40	1.0		YHP1 CA	HCM1	OFF
41	1.0		YHP1 CA	ACE2	OFF
42	1.0		YHP1 CA	SFF	OFF
43	1.0		YHP1 CA	CLN3	OFF
44	1.0		YHP1 CA	SBF	OFF
45	1.0		MBF KO	HCM1	OFF
46	1.0		MBF KO	ACE2	OFF
47	1.0		MBF KO	SFF	OFF
48	1.0		MBF KO	SBF	OFF
49	1.0		MBF KO	CLN3	OFF
50	1.0		MBF KO,SFF KO	SWI5	OFF
51	1.0		HCM1 KO	YOX1	OFF
52	1.0		HCM1 KO	MBF	OFF
53	1.0		HCM1 KO	ACE2	OFF
54	1.0		HCM1 KO,YOX1 KO	YHP1	OFF
55	1.0		SBF CA,YOX1 CA	ACE2	OFF
56	1.0		SBF CA,YOX1 CA	YHP1	ON
57	1.0		ACE2 CA	MBF	OFF
58	1.0		SFF KO	SWI5	OFF
59	1.0		YHP1 CA,YOX1 KO	ACE2	OFF
60	1.0		SBF CA,SFF KO,YHP1 CA	ACE2	OFF
61	1.0		SBF KO	ACE2	OFF
62	1.0		SBF KO	SFF	OFF
63	1.0		SBF KO	YHP1	OFF
64	1.0		SBF KO	MBF	OFF
65	1.0		SBF KO	CLN3	OFF
66	1.0		ACE2 CA,HCM1 CA,MBF KO	SWI5	OFF
67	1.0		ACE2 KO,SBF KO	SWI5	OFF
68	1.0		SWI5 CA,YOX1 KO	CLN3	OFF
69	1.0		SBF KO,SWI5 KO	MBF	OFF
70	1.0		SBF KO,SWI5 KO	CLN3	OFF
71	1.0		ACE2 CA,SFF CA,SWI5 CA	MBF	Some
72	1.0		SBF KO,YHP1 KO,YOX1 CA	MBF	OFF
73	1.0		YHP1 KO	SFF	OFF
74	1.0		YHP1 KO	SWI5	OFF
75	1.0		MBF KO,YOX1 KO	YHP1	OFF
76	1.0		SFF KO,YHP1 KO	MBF	OFF
77	1.0		SBF KO,YOX1 CA	ACE2	OFF
78	1.0		MBF KO,SWI5 CA	HCM1	OFF
79	1.0		MBF KO,SWI5 CA	ACE2	OFF
80	1.0		MBF KO,SWI5 CA	SBF	OFF
81	1.0		SWI5 CA,YHP1 CA	ACE2	OFF
82	1.0		MBF CA,SBF CA,YHP1 KO,YOX1 KO	HCM1	ON
83	1.0		MBF CA,SBF CA,YHP1 KO,YOX1 KO	CLN3	ON
84	1.0		CLN3 CA	SFF	OFF
85	1.0		CLN3 CA	MBF	ON
86	1.0		CLN3 CA	YHP1	ON
87	1.0		ACE2 KO,MBF KO,SWI5 CA	SFF	OFF
88	1.0		MBF KO,YHP1 KO,YOX1 KO	ACE2	OFF
89	1.0		ACE2 KO,HCM1 KO	SFF	OFF
90	1.0		SBF CA,YHP1 KO	MBF	OFF
