ID	Score	Source	Perturbation	Observed node	Categorization
1	1.0	src=1,trika1=0		lbp	OFF
2	1.0	src=1,trika1=0		ksrp	ON
3	1.0	src=1,trika1=0		tak1_tab	OFF
4	1.0	src=1,trika1=0		cox2	OFF
5	1.0	src=1,trika1=0		tdum_il1r2_il1rc	OFF
6	1.0	src=1,trika1=0		nc_nfkb_pathway	OFF
7	1.0	src=1,trika1=0		irs1_ps	OFF
8	1.0	src=1,trika1=0		tdum_a20_traf6_ub	ON
9	1.0	src=1,trika1=0		tdum_irak1c_irak12	OFF
10	1.0	src=1,trika1=0		cjun_gene	OFF
11	1.0	src=1,trika1=0		tdum_il1ra_ilr12	OFF
12	1.0	src=1,trika1=0		il8	OFF
13	1.0	src=1,trika1=0		tdum_mkp1_p38_jnk_erk12	OFF
14	1.0	src=1,trika1=0		tdum_tpl2_degr_tp2	OFF
15	1.0	src=1,trika1=0		tdum_hsp27_ps_traf6_ub	OFF
16	1.0	src=1,trika1=0		msk1	OFF
17	1.0	src=1,trika1=0		saa	OFF
18	1.0	src=1,trika1=0		akt	OFF
19	1.0	src=1,trika1=0		tdum_cyt_p38_tak1_tab	OFF
20	1.0	src=1,trika1=0		il1b_new	OFF
21	1.0	src=1,trika1=0		il6	OFF
22	1.0	src=1,trika1=0		cjun	OFF
23	1.0	src=1,trika1=0		cebpb	OFF
24	1.0	src=1,trika1=0		sil1r_ap	OFF
25	1.0	src=1,trika1=0		ccl2	OFF
26	1.0	src=1,trika1=0		p65	ON
27	1.0	src=1,trika1=0		hgf	OFF
28	1.0	src=1,trika1=0		mk2	OFF
29	1.0	src=0,trika1=0	il1rc CA,irakm CA	lbp	OFF
30	1.0	src=0,trika1=0	il1rc CA,irakm CA	cox2	OFF
31	1.0	src=0,trika1=0	il1rc CA,irakm CA	tdum_il1r2_il1rc	OFF
32	1.0	src=0,trika1=0	il1rc CA,irakm CA	nc_nfkb_pathway	OFF
33	1.0	src=0,trika1=0	il1rc CA,irakm CA	irs1_ps	OFF
34	1.0	src=0,trika1=0	il1rc CA,irakm CA	tdum_a20_traf6_ub	ON
35	1.0	src=0,trika1=0	il1rc CA,irakm CA	tdum_irak1c_irak12	ON
36	1.0	src=0,trika1=0	il1rc CA,irakm CA	tdum_il1ra_ilr12	OFF
37	1.0	src=0,trika1=0	il1rc CA,irakm CA	il8	OFF
38	1.0	src=0,trika1=0	il1rc CA,irakm CA	tdum_mkp1_p38_jnk_erk12	OFF
39	1.0	src=0,trika1=0	il1rc CA,irakm CA	tdum_tpl2_degr_tp2	OFF
40	1.0	src=0,trika1=0	il1rc CA,irakm CA	tdum_hsp27_ps_traf6_ub	OFF
41	1.0	src=0,trika1=0	il1rc CA,irakm CA	saa	OFF
42	1.0	src=0,trika1=0	il1rc CA,irakm CA	tdum_cyt_p38_tak1_tab	OFF
43	1.0	src=0,trika1=0	il1rc CA,irakm CA	il1b_new	OFF
44	1.0	src=0,trika1=0	il1rc CA,irakm CA	il6	OFF
45	1.0	src=0,trika1=0	il1rc CA,irakm CA	sil1r_ap	OFF
46	1.0	src=0,trika1=0	il1rc CA,irakm CA	ccl2	OFF
47	1.0	src=0,trika1=0	il1rc CA,irakm CA	hgf	OFF
48	1.0	src=0,trika1=1	pro_il1b CA,traf6 CA	lbp	Some
49	1.0	src=0,trika1=1	pro_il1b CA,traf6 CA	cox2	Some
50	1.0	src=0,trika1=1	pro_il1b CA,traf6 CA	tdum_il1r2_il1rc	OFF
51	1.0	src=0,trika1=1	pro_il1b CA,traf6 CA	nc_nfkb_pathway	OFF
52	1.0	src=0,trika1=1	pro_il1b CA,traf6 CA	irs1_ps	Some
53	1.0	src=0,trika1=1	pro_il1b CA,traf6 CA	tdum_a20_traf6_ub	ON
54	1.0	src=0,trika1=1	pro_il1b CA,traf6 CA	tdum_irak1c_irak12	OFF
55	1.0	src=0,trika1=1	pro_il1b CA,traf6 CA	tdum_il1ra_ilr12	OFF
56	1.0	src=0,trika1=1	pro_il1b CA,traf6 CA	il8	OFF
57	1.0	src=0,trika1=1	pro_il1b CA,traf6 CA	tdum_mkp1_p38_jnk_erk12	Some
58	1.0	src=0,trika1=1	pro_il1b CA,traf6 CA	tdum_tpl2_degr_tp2	OFF
59	1.0	src=0,trika1=1	pro_il1b CA,traf6 CA	tdum_hsp27_ps_traf6_ub	Some
60	1.0	src=0,trika1=1	pro_il1b CA,traf6 CA	saa	OFF
61	1.0	src=0,trika1=1	pro_il1b CA,traf6 CA	tdum_cyt_p38_tak1_tab	Some
62	1.0	src=0,trika1=1	pro_il1b CA,traf6 CA	il1b_new	ON
63	1.0	src=0,trika1=1	pro_il1b CA,traf6 CA	il6	OFF
64	1.0	src=0,trika1=1	pro_il1b CA,traf6 CA	sil1r_ap	OFF
65	1.0	src=0,trika1=1	pro_il1b CA,traf6 CA	ccl2	OFF
66	1.0	src=0,trika1=1	pro_il1b CA,traf6 CA	hgf	Some
67	1.0	src=1,trika1=1	mek6 CA	lbp	Some
68	1.0	src=1,trika1=1	mek6 CA	cox2	Some
69	1.0	src=1,trika1=1	mek6 CA	tdum_il1r2_il1rc	OFF
70	1.0	src=1,trika1=1	mek6 CA	nc_nfkb_pathway	OFF
71	1.0	src=1,trika1=1	mek6 CA	irs1_ps	OFF
72	1.0	src=1,trika1=1	mek6 CA	tdum_a20_traf6_ub	ON
73	1.0	src=1,trika1=1	mek6 CA	tdum_irak1c_irak12	OFF
74	1.0	src=1,trika1=1	mek6 CA	tdum_il1ra_ilr12	OFF
75	1.0	src=1,trika1=1	mek6 CA	il8	OFF
76	1.0	src=1,trika1=1	mek6 CA	tdum_mkp1_p38_jnk_erk12	Some
77	1.0	src=1,trika1=1	mek6 CA	tdum_tpl2_degr_tp2	OFF
78	1.0	src=1,trika1=1	mek6 CA	tdum_hsp27_ps_traf6_ub	Some
79	1.0	src=1,trika1=1	mek6 CA	saa	OFF
80	1.0	src=1,trika1=1	mek6 CA	tdum_cyt_p38_tak1_tab	Some
81	1.0	src=1,trika1=1	mek6 CA	il1b_new	OFF
82	1.0	src=1,trika1=1	mek6 CA	il6	OFF
83	1.0	src=1,trika1=1	mek6 CA	sil1r_ap	OFF
84	1.0	src=1,trika1=1	mek6 CA	ccl2	OFF
85	1.0	src=1,trika1=1	mek6 CA	p65	ON
86	1.0	src=1,trika1=1	mek6 CA	hgf	Some
87	1.0	src=1,trika1=1	mek7 KO	lbp	OFF
88	1.0	src=1,trika1=1	mek7 KO	pi3k	OFF
89	1.0	src=1,trika1=1	mek7 KO	cox2	OFF
90	1.0	src=1,trika1=1	mek7 KO	tdum_il1r2_il1rc	OFF
91	1.0	src=1,trika1=1	mek7 KO	p105_degr	OFF
92	1.0	src=1,trika1=1	mek7 KO	nc_nfkb_pathway	OFF
93	1.0	src=1,trika1=1	mek7 KO	irs1_ps	OFF
94	1.0	src=1,trika1=1	mek7 KO	tdum_a20_traf6_ub	ON
95	1.0	src=1,trika1=1	mek7 KO	tdum_irak1c_irak12	OFF
96	1.0	src=1,trika1=1	mek7 KO	tdum_il1ra_ilr12	OFF
97	1.0	src=1,trika1=1	mek7 KO	il8	OFF
98	1.0	src=1,trika1=1	mek7 KO	tdum_mkp1_p38_jnk_erk12	OFF
99	1.0	src=1,trika1=1	mek7 KO	tdum_tpl2_degr_tp2	OFF
100	1.0	src=1,trika1=1	mek7 KO	tdum_hsp27_ps_traf6_ub	OFF
101	1.0	src=1,trika1=1	mek7 KO	ikba_diss	OFF
102	1.0	src=1,trika1=1	mek7 KO	saa	OFF
103	1.0	src=1,trika1=1	mek7 KO	tdum_cyt_p38_tak1_tab	OFF
104	1.0	src=1,trika1=1	mek7 KO	il1b_new	OFF
105	1.0	src=1,trika1=1	mek7 KO	il6	OFF
106	1.0	src=1,trika1=1	mek7 KO	sil1r_ap	OFF
107	1.0	src=1,trika1=1	mek7 KO	ccl2	OFF
108	1.0	src=1,trika1=1	mek7 KO	hgf	OFF
109	1.0	src=0,trika1=0	irak1 KO	lbp	OFF
110	1.0	src=0,trika1=0	irak1 KO	cox2	OFF
111	1.0	src=0,trika1=0	irak1 KO	tdum_il1r2_il1rc	OFF
112	1.0	src=0,trika1=0	irak1 KO	nc_nfkb_pathway	OFF
113	1.0	src=0,trika1=0	irak1 KO	irs1_ps	OFF
114	1.0	src=0,trika1=0	irak1 KO	tdum_a20_traf6_ub	ON
115	1.0	src=0,trika1=0	irak1 KO	tdum_irak1c_irak12	OFF
116	1.0	src=0,trika1=0	irak1 KO	tdum_il1ra_ilr12	OFF
117	1.0	src=0,trika1=0	irak1 KO	il8	OFF
118	1.0	src=0,trika1=0	irak1 KO	tdum_mkp1_p38_jnk_erk12	OFF
119	1.0	src=0,trika1=0	irak1 KO	tdum_tpl2_degr_tp2	OFF
120	1.0	src=0,trika1=0	irak1 KO	tdum_hsp27_ps_traf6_ub	OFF
121	1.0	src=0,trika1=0	irak1 KO	saa	OFF
122	1.0	src=0,trika1=0	irak1 KO	tdum_cyt_p38_tak1_tab	OFF
123	1.0	src=0,trika1=0	irak1 KO	il1b_new	OFF
124	1.0	src=0,trika1=0	irak1 KO	il6	OFF
125	1.0	src=0,trika1=0	irak1 KO	sil1r_ap	OFF
126	1.0	src=0,trika1=0	irak1 KO	ccl2	OFF
127	1.0	src=0,trika1=0	irak1 KO	ikkbb_nemo	OFF
128	1.0	src=0,trika1=0	irak1 KO	hgf	OFF
129	1.0	src=1,trika1=1		lbp	OFF
130	1.0	src=1,trika1=1		pi3k	OFF
131	1.0	src=1,trika1=1		cox2	OFF
132	1.0	src=1,trika1=1		mkp1	OFF
133	1.0	src=1,trika1=1		tdum_il1r2_il1rc	OFF
134	1.0	src=1,trika1=1		nc_nfkb_pathway	OFF
135	1.0	src=1,trika1=1		irs1_ps	OFF
136	1.0	src=1,trika1=1		tdum_a20_traf6_ub	ON
137	1.0	src=1,trika1=1		tdum_irak1c_irak12	OFF
138	1.0	src=1,trika1=1		tdum_il1ra_ilr12	OFF
139	1.0	src=1,trika1=1		il8	OFF
140	1.0	src=1,trika1=1		tdum_mkp1_p38_jnk_erk12	OFF
141	1.0	src=1,trika1=1		tdum_tpl2_degr_tp2	OFF
142	1.0	src=1,trika1=1		tdum_hsp27_ps_traf6_ub	OFF
143	1.0	src=1,trika1=1		saa	OFF
144	1.0	src=1,trika1=1		tdum_cyt_p38_tak1_tab	OFF
145	1.0	src=1,trika1=1		il1b_new	OFF
146	1.0	src=1,trika1=1		cebpd	OFF
147	1.0	src=1,trika1=1		il6	OFF
148	1.0	src=1,trika1=1		sil1r_ap	OFF
149	1.0	src=1,trika1=1		ccl2	OFF
150	1.0	src=1,trika1=1		hgf	OFF
151	1.0	src=1,trika1=1		mk2	OFF
152	1.0	src=0,trika1=0		lbp	OFF
153	1.0	src=0,trika1=0		irak1_ub	OFF
154	1.0	src=0,trika1=0		tpl2_degr	OFF
155	1.0	src=0,trika1=0		cox2	OFF
