ID	Score	Source	Perturbation	Observed node	Categorization
1	1.0		HCM1 CA,SWI5 CA	SFF	OFF
2	1.0			HCM1	OFF
3	1.0			ACE2	OFF
4	1.0			SFF	OFF
5	1.0			SBF	OFF
6	1.0			YHP1	OFF
7	1.0			YOX1	OFF
8	1.0			MBF	OFF
9	1.0			SWI5	OFF
10	1.0			CLN3	OFF
11	1.0		SWI5 KO	SFF	OFF
12	1.0		SWI5 KO	MBF	OFF
13	1.0		SWI5 KO	SBF	OFF
14	1.0		SWI5 KO	CLN3	OFF
15	1.0		SBF KO	HCM1	OFF
16	1.0		SBF KO	SFF	OFF
17	1.0		SBF KO	YHP1	OFF
18	1.0		SBF KO	MBF	OFF
19	1.0		SBF KO	CLN3	OFF
20	1.0		MBF KO	SWI5	OFF
21	1.0		MBF KO	SBF	OFF
22	1.0		YOX1 CA	SWI5	OFF
23	1.0		YOX1 CA	HCM1	OFF
24	1.0		YOX1 CA	SBF	OFF
25	1.0		YOX1 CA	CLN3	OFF
26	1.0		SBF KO,SWI5 CA	MBF	OFF
27	1.0		CLN3 CA,SWI5 CA	YOX1	OFF
28	1.0		CLN3 CA,SWI5 CA	SBF	OFF
29	1.0		SBF CA,SWI5 CA	HCM1	OFF
30	1.0		ACE2 CA	SFF	OFF
31	1.0		ACE2 CA	YOX1	OFF
32	1.0		ACE2 CA	MBF	OFF
33	1.0		ACE2 CA	SWI5	OFF
34	1.0		ACE2 CA,CLN3 CA,SBF KO	YHP1	ON
35	1.0		MBF CA	SFF	OFF
36	1.0		MBF CA	YOX1	OFF
37	1.0		MBF CA	SBF	OFF
38	1.0		ACE2 KO	SFF	OFF
39	1.0		ACE2 KO	YOX1	OFF
40	1.0		ACE2 KO	MBF	OFF
41	1.0		ACE2 KO	YHP1	OFF
42	1.0		HCM1 KO	ACE2	OFF
43	1.0		MBF KO,SWI5 KO	ACE2	OFF
44	1.0		HCM1 CA,SWI5 KO	SBF	OFF
45	1.0		YHP1 KO	SFF	OFF
46	1.0		YHP1 KO	YOX1	OFF
47	1.0		YHP1 KO	SBF	OFF
48	1.0		YHP1 KO	CLN3	OFF
49	1.0		YHP1 CA	CLN3	OFF
50	1.0		YHP1 CA	YOX1	OFF
51	1.0		YHP1 CA	MBF	OFF
52	1.0		YHP1 CA	SBF	OFF
53	1.0		ACE2 KO,YHP1 CA	HCM1	OFF
54	1.0		ACE2 KO,YHP1 CA	SBF	OFF
55	1.0		CLN3 CA	ACE2	OFF
56	1.0		CLN3 CA	SFF	OFF
57	1.0		CLN3 CA	YHP1	ON
58	1.0		CLN3 CA	YOX1	OFF
59	1.0		CLN3 CA	SWI5	OFF
60	1.0		YOX1 KO	SWI5	OFF
61	1.0		YOX1 KO	MBF	OFF
62	1.0		YOX1 KO	HCM1	OFF
63	1.0		YOX1 KO	SBF	OFF
64	1.0		SFF CA	SWI5	ON
65	1.0		SFF CA	YHP1	Some
66	1.0		SBF CA	SWI5	OFF
67	1.0		SBF CA	ACE2	OFF
68	1.0		SWI5 CA	SFF	OFF
69	1.0		SWI5 CA	YOX1	OFF
70	1.0		SWI5 CA	ACE2	OFF
71	1.0		HCM1 CA	MBF	OFF
72	1.0		CLN3 KO	SFF	OFF
73	1.0		SWI5 CA,YHP1 KO	HCM1	OFF
74	1.0		SWI5 CA,YHP1 KO	ACE2	OFF
75	1.0		SFF KO,YHP1 KO	SWI5	OFF
76	1.0		SFF KO,YHP1 KO	ACE2	OFF
77	1.0		SFF KO	MBF	OFF
78	1.0		HCM1 KO,SFF KO	MBF	OFF
79	1.0		CLN3 CA,YOX1 CA	SBF	OFF
80	1.0		SFF CA,YHP1 CA	YOX1	OFF
81	1.0		CLN3 KO,SBF CA,SWI5 KO	MBF	OFF
82	1.0		CLN3 KO,SBF CA,SWI5 KO	HCM1	OFF
83	1.0		SBF CA,SFF CA	SWI5	ON
84	1.0		SBF CA,SFF CA	HCM1	OFF
85	1.0		ACE2 CA,MBF KO	YHP1	OFF
86	1.0		ACE2 CA,MBF KO	HCM1	OFF
87	1.0		ACE2 CA,MBF KO	CLN3	OFF
88	1.0		HCM1 KO,SWI5 KO	ACE2	OFF
89	1.0		ACE2 KO,HCM1 KO	YOX1	OFF
90	1.0		ACE2 KO,HCM1 KO	MBF	OFF
