ID	Score	Source	Perturbation	Observed node	Categorization
1	1.0	galactose_ext=1,glucose_ext=0,maltose_ext=1	Gal4p CA,SNF3 CA	HXT2	OFF
2	1.0	galactose_ext=1,glucose_ext=0,maltose_ext=1	Gal4p CA,SNF3 CA	SUC2	ON
3	1.0	galactose_ext=1,glucose_ext=0,maltose_ext=1	Gal4p CA,SNF3 CA	MALS	ON
4	1.0	galactose_ext=1,glucose_ext=0,maltose_ext=1	Gal4p CA,SNF3 CA	HXT4	OFF
5	1.0	galactose_ext=1,glucose_ext=0,maltose_ext=1	Gal4p CA,SNF3 CA	HXT5	OFF
6	1.0	galactose_ext=1,glucose_ext=0,maltose_ext=1	Gal4p CA,SNF3 CA	Sip4p	ON
7	1.0	galactose_ext=1,glucose_ext=0,maltose_ext=1	Gal4p CA,SNF3 CA	number_4ORFs	OFF
8	1.0	galactose_ext=1,glucose_ext=0,maltose_ext=1	Gal4p CA,SNF3 CA	SFC1	ON
9	1.0	galactose_ext=1,glucose_ext=0,maltose_ext=1	Gal4p CA,SNF3 CA	Gal11p	ON
10	1.0	galactose_ext=1,glucose_ext=0,maltose_ext=1	Gal4p CA,SNF3 CA	HXT1	OFF
11	1.0	galactose_ext=1,glucose_ext=0,maltose_ext=1	Gal4p CA,SNF3 CA	PCK1	ON
12	1.0	galactose_ext=1,glucose_ext=0,maltose_ext=1	Gal4p CA,SNF3 CA	MEL1	ON
13	1.0	galactose_ext=1,glucose_ext=0,maltose_ext=1	Gal4p CA,SNF3 CA	HXT8	OFF
14	1.0	galactose_ext=1,glucose_ext=0,maltose_ext=1	Gal4p CA,SNF3 CA	GAL7	ON
15	1.0	galactose_ext=1,glucose_ext=0,maltose_ext=1	Gal4p CA,SNF3 CA	MLS1	ON
16	1.0	galactose_ext=1,glucose_ext=0,maltose_ext=1	Gal4p CA,SNF3 CA	GAL10	ON
17	1.0	galactose_ext=1,glucose_ext=0,maltose_ext=1	Gal4p CA,SNF3 CA	ACS1	ON
18	1.0	galactose_ext=1,glucose_ext=0,maltose_ext=1	Gal4p CA,SNF3 CA	ICL1	ON
19	1.0	galactose_ext=1,glucose_ext=0,maltose_ext=1	Gal4p CA,SNF3 CA	IDP2	ON
20	1.0	galactose_ext=1,glucose_ext=0,maltose_ext=1	Gal4p CA,SNF3 CA	Mig3p	OFF
21	1.0	galactose_ext=1,glucose_ext=0,maltose_ext=1	Gal4p CA,SNF3 CA	HXT3	OFF
22	1.0	galactose_ext=1,glucose_ext=0,maltose_ext=1	Gal4p CA,SNF3 CA	MDH2	ON
23	1.0	galactose_ext=1,glucose_ext=0,maltose_ext=1	Gal4p CA,SNF3 CA	FBP1	ON
24	1.0	galactose_ext=1,glucose_ext=0,maltose_ext=1	Gal4p CA,SNF3 CA	GAL5	ON
25	1.0	galactose_ext=1,glucose_ext=0,maltose_ext=1	Gal4p CA,SNF3 CA	JEN1	ON
26	1.0	galactose_ext=0,glucose_ext=1,maltose_ext=0	Mig2p KO,Mth1p KO	HXT2	OFF
27	1.0	galactose_ext=0,glucose_ext=1,maltose_ext=0	Mig2p KO,Mth1p KO	SUC2	OFF
28	1.0	galactose_ext=0,glucose_ext=1,maltose_ext=0	Mig2p KO,Mth1p KO	MALS	OFF
29	1.0	galactose_ext=0,glucose_ext=1,maltose_ext=0	Mig2p KO,Mth1p KO	HXT4	OFF
30	1.0	galactose_ext=0,glucose_ext=1,maltose_ext=0	Mig2p KO,Mth1p KO	HXT5	ON
31	1.0	galactose_ext=0,glucose_ext=1,maltose_ext=0	Mig2p KO,Mth1p KO	number_4ORFs	OFF
32	1.0	galactose_ext=0,glucose_ext=1,maltose_ext=0	Mig2p KO,Mth1p KO	SFC1	OFF
33	1.0	galactose_ext=0,glucose_ext=1,maltose_ext=0	Mig2p KO,Mth1p KO	Gal11p	ON
34	1.0	galactose_ext=0,glucose_ext=1,maltose_ext=0	Mig2p KO,Mth1p KO	HXT1	ON
35	1.0	galactose_ext=0,glucose_ext=1,maltose_ext=0	Mig2p KO,Mth1p KO	PCK1	OFF
36	1.0	galactose_ext=0,glucose_ext=1,maltose_ext=0	Mig2p KO,Mth1p KO	MEL1	OFF
37	1.0	galactose_ext=0,glucose_ext=1,maltose_ext=0	Mig2p KO,Mth1p KO	HXT8	ON
38	1.0	galactose_ext=0,glucose_ext=1,maltose_ext=0	Mig2p KO,Mth1p KO	GAL7	OFF
39	1.0	galactose_ext=0,glucose_ext=1,maltose_ext=0	Mig2p KO,Mth1p KO	MLS1	OFF
40	1.0	galactose_ext=0,glucose_ext=1,maltose_ext=0	Mig2p KO,Mth1p KO	GAL10	OFF
41	1.0	galactose_ext=0,glucose_ext=1,maltose_ext=0	Mig2p KO,Mth1p KO	ACS1	OFF
