Regulator,Target,Sign,Model,Confidence Rank,Constraint,Direct
IL2R,STAT5_2,positive,"AJ, MSM, N10, P18",1,regulates,direct
IL2RA,IL2R_2,positive,"AJ, N10",0,necessary,direct
IL2R_2,STAT5,positive,"MSM, P18",1,regulates,direct
IL2R_2,STAT5_2,positive,"AJ, MSM, N10, P18",1,regulates,direct
IL2_e,IL2R,positive,"AJ, MSM, N10",1,regulates,direct
IL2_e,IL2R_2,positive,"AJ, MSM, N10",1,regulates,direct
IL33R,IL13,positive,AJ,2,,indirect
IL33R,IL5,positive,AJ,2,,indirect
IL33R,IL9,positive,AJ,2,,indirect
IL33_e,IL33R,positive,AJ,1,regulates,direct
IL36R,TBET,positive,AJ,2,,indirect
IL36R,TBET_2,positive,AJ,2,,indirect
IL36_e,IL36R,positive,AJ,1,regulates,direct
IL4,IL4R,positive,"AJ, M06, MSM, MX, N10, P18",1,regulates,direct
IL4,IL4R_2,positive,"AJ, M06, MSM, MX, N10, P18",1,regulates,direct
IL4R,IL4R_2,positive,N10,0,necessary,
IL4R,STAT5,positive,N10,1,regulates,direct
IL4R,STAT5_2,positive,N10,1,regulates,direct
IL4R,STAT6,positive,"AJ, M06, MSM, MX, N10, P18",1,regulates,direct
IL4RA_2,IL4R_2,positive,N10,0,regulates,direct
IL4R_2,STAT5_2,positive,N10,1,regulates,direct
IL4R_2,STAT6,positive,"AJ, M06, MSM, MX, P18",1,regulates,direct
IL4_e,IL4R,positive,"AJ, N10, P18",1,regulates,direct
IL4_e,IL4R_2,positive,"AJ, N10, P18",1,regulates,direct
IL6,IL6R,positive,"AJ, MSM, P18",1,regulates,direct
IL6R,STAT3,positive,"AJ, N10, P18",1,regulates,direct
IL6_e,IL6R,positive,"AJ, N10, P18",1,regulates,direct
IL7R,STAT5,positive,MSM,1,regulates,direct
IL7R,STAT5_2,positive,MSM,1,regulates,direct
IL7_e,IL7R,positive,MSM,1,regulates,direct
IL9,IFNG,negative,MS15,3,,correlation
IL9,IFNG_2,negative,MS15,3,,correlation
IL9,TBET,negative,MS15,3,,correlation
IL9,TBET_2,negative,MS15,3,,correlation
IRAK,IFNG,positive,"MSM, MX",2,,indirect
IRAK,IFNG_2,positive,"M06, MSM, MX",2,,indirect
IRAK,NFKB,positive,P18,2,,indirect
IRF1,IL10,positive,AJ,1,regulates,direct
IRF1,IL12RB1_2,positive,N10,1,regulates,direct
IRF1,IL4,negative,"AJ, N10",1,regulates,direct
JAK1,STAT1,positive,"MSM, MX, P18",1,regulates,direct
JAK1,STAT1_2,positive,"MSM, MX, P18",1,regulates,direct
JAK3,STAT3,positive,MSM,1,regulates,direct
NFAT,FOXP3,positive,"AJ, N10",1,regulates,direct
NFAT,GATA3,positive,P18,1,regulates,direct
NFAT,IFNG,positive,"AJ, MX, N10, P18",1,regulates,direct
NFAT,IFNG_2,positive,"AJ, MX, N10, P18",1,regulates,direct
NFAT,IL10,positive,"AJ, N10",1,regulates,direct
NFAT,IL13,positive,AJ,1,regulates,direct
NFAT,IL17,positive,"AJ, N10",1,regulates,direct
NFAT,IL2,positive,"AJ, N10, P18",1,necessary,direct
NFAT,IL21,positive,"AJ, N10, P18",1,necessary,direct
NFAT,IL22,positive,AJ,1,regulates,direct
NFAT,IL2RA,positive,"AJ, N10",1,regulates,direct
NFAT,IL3,positive,AJ,1,regulates,direct
NFAT,IL31,positive,AJ,1,regulates,direct
NFAT,IL4,positive,"AJ, N10, P18",1,necessary,direct
NFAT,IL5,positive,AJ,1,regulates,direct
NFAT,IL9,positive,AJ,1,regulates,direct
NFAT,TGFB,positive,"AJ, N10",1,regulates,direct
NFKB,IFNG,positive,P18,1,regulates,direct
NFKB,IFNG_2,positive,P18,1,regulates,direct
NFKB,IL17,positive,"AJ, N10",1,regulates,direct
NFKB,IL2,positive,"AJ, N10, P18",1,regulates,direct
NFKB,IL2RA,positive,"AJ, N10",1,regulates,direct
NFKB,IL9,positive,AJ,1,regulates,direct
NOTCH1,CD4,positive,MSM,2,,indirect
NOTCH1,CD8,positive,MSM,2,,indirect
PU1,GATA3,negative,AJ,1,regulates,direct
PU1,IL9,positive,AJ,1,regulates,direct
RORGT,IL17,positive,"AJ, MSM, N10, P18",1,regulates,direct
RORGT,IL23R,positive,"AJ, N10",1,regulates,direct
RORGT,RORGT,positive,"MSM, N10",1,regulates,direct
RUNX3,CD4,negative,MSM,1,regulates,direct
RUNX3,CD8,positive,MSM,1,regulates,direct
RUNX3,EOMES,positive,MSM,1,regulates,direct
RUNX3,IFNG,positive,"AJ, N10",1,regulates,direct
RUNX3,IFNG_2,positive,"AJ, N10",1,regulates,direct
RUNX3,IL4,negative,"AJ, N10",1,regulates,direct
RUNX3,THPOK,negative,MSM,1,regulates,direct
SMAD2,FOXP3,positive,MSM,1,regulates,direct
SMAD2,RORGT,positive,MSM,1,regulates,direct
SMAD3,FOXP3,positive,"AJ, N10",1,regulates,direct
SMAD3,IL2RA,positive,"AJ, N10",1,regulates,direct
SMAD3,IL9,positive,AJ,1,regulates,direct
