id,perturbation,sources,phenotype,expected_exists,predicted_exists,agreement,weight,score,found_phenotypes
50,{'TCR': 1},"{'APC': 1, 'DLL1': 0, 'IFNA_e': 0, 'IFNB_e': 0, 'IFNG_e': 0, 'IL10_e': 0, 'IL15_e': 0, 'IL18_e': 0, 'IL1_e': 0, 'IL21_e': 1, 'IL23_e': 0, 'IL25_e': 0, 'IL27_e': 0, 'IL29_e': 0, 'IL2_e': 0, 'IL33_e': 0, 'IL36_e': 0, 'IL4_e': 0, 'IL6_e': 0, 'IL7_e': 0, 'TGFB_e': 1}","{'BCL6': 0, 'FOXP3': 0, 'GATA3': 0, 'IFNG': 0, 'IL21': 1, 'IL4': 0, 'IL9': 0, 'RORGT': 1, 'TBET': 0}",True,False,0.0,1.0,0.0,[]
51,{'TCR': 1},"{'APC': 1, 'DLL1': 0, 'IFNA_e': 0, 'IFNB_e': 0, 'IFNG_e': 0, 'IL10_e': 0, 'IL15_e': 0, 'IL18_e': 0, 'IL1_e': 0, 'IL21_e': 1, 'IL23_e': 0, 'IL25_e': 0, 'IL27_e': 0, 'IL29_e': 0, 'IL2_e': 0, 'IL33_e': 0, 'IL36_e': 0, 'IL4_e': 0, 'IL6_e': 0, 'IL7_e': 0, 'TGFB_e': 0}","{'BCL6': 1, 'FOXP3': 0, 'GATA3': 0, 'IFNG': 0, 'IL21': 1, 'IL4': 0, 'IL9': 0, 'RORGT': 0, 'TBET': 0}",True,False,0.0,1.0,0.0,[]
52,{'TCR': 1},"{'APC': 1, 'DLL1': 0, 'IFNA_e': 0, 'IFNB_e': 0, 'IFNG_e': 0, 'IL10_e': 0, 'IL15_e': 0, 'IL18_e': 0, 'IL1_e': 0, 'IL21_e': 0, 'IL23_e': 0, 'IL25_e': 0, 'IL27_e': 0, 'IL29_e': 0, 'IL2_e': 0, 'IL33_e': 0, 'IL36_e': 0, 'IL4_e': 1, 'IL6_e': 0, 'IL7_e': 0, 'TGFB_e': 1}",{'IL9': 1},True,True,1.0,1.0,1.0,"[{'APC': 1, 'DLL1': 0, 'IFNAR': 0, 'IFNA_e': 0, 'IFNBR': 0, 'IFNB_e': 0, 'IFNG': 0, 'IFNG1': 0, 'IFNGR': 0, 'IFNGR_2': 0, 'IFNG_2': 0, 'IFNG_e': 0, 'IL10_e': 0, 'IL12R': 0, 'IL15_e': 0, 'IL18R': 0, 'IL18_e': 0, 'IL1_e': 0, 'IL21': 0, 'IL21_e': 0, 'IL23_e': 0, 'IL25_e': 0, 'IL27': 0, 'IL27R': 0, 'IL27_e': 0, 'IL29_e': 0, 'IL2_e': 0, 'IL33_e': 0, 'IL36_e': 0, 'IL4R': 1, 'IL4_e': 1, 'IL6_e': 0, 'IL7_e': 0, 'IL9': 1, 'IRAK': 0, 'JAK1': 0, 'PU1': 1, 'SMAD3': 1, 'SOCS1': 0, 'STAT1': 0, 'STAT1_2': 0, 'STAT4': 0, 'STAT6': 1, 'TBET': 0, 'TBET_2': 0, 'TGFBR': 1, 'TGFB_e': 1}]"
53,{'TCR': 1},"{'APC': 1, 'IFNA_e': 0, 'IFNB_e': 0, 'IFNG_e': 0, 'IL10_e': 0, 'IL15_e': 0, 'IL18_e': 0, 'IL1_e': 0, 'IL21_e': 1, 'IL23_e': 0, 'IL25_e': 0, 'IL27_e': 0, 'IL29_e': 0, 'IL2_e': 0, 'IL33_e': 0, 'IL36_e': 0, 'IL4_e': 0, 'IL6_e': 0, 'TGFB_e': 1}","{'BCL6': 0, 'FOXP3': 0, 'GATA3': 0, 'IL9': 0, 'RORGT': 0, 'TBET': 0}",False,False,1.0,1.0,1.0,[]
54,{'TCR': 1},"{'APC': 1, 'DLL1': 0, 'IFNA_e': 0, 'IFNB_e': 0, 'IFNG_e': 0, 'IL10_e': 0, 'IL15_e': 0, 'IL18_e': 0, 'IL1_e': 0, 'IL21_e': 1, 'IL23_e': 0, 'IL25_e': 0, 'IL27_e': 0, 'IL29_e': 0, 'IL2_e': 0, 'IL33_e': 0, 'IL36_e': 0, 'IL4_e': 0, 'IL6_e': 0, 'IL7_e': 0, 'TGFB_e': 1}","{'BCL6': 0, 'FOXP3': 0, 'GATA3': 0, 'IFNG': 1, 'IL4': 0, 'IL9': 0, 'RORGT': 0, 'TBET': 1}",False,False,1.0,1.0,1.0,[]
55,{'TCR': 1},"{'APC': 1, 'DLL1': 0, 'IFNA_e': 0, 'IFNB_e': 0, 'IFNG_e': 0, 'IL10_e': 0, 'IL15_e': 0, 'IL18_e': 0, 'IL1_e': 0, 'IL21_e': 1, 'IL23_e': 0, 'IL25_e': 0, 'IL27_e': 0, 'IL29_e': 0, 'IL2_e': 0, 'IL33_e': 0, 'IL36_e': 0, 'IL4_e': 0, 'IL6_e': 0, 'IL7_e': 0, 'TGFB_e': 1}","{'BCL6': 0, 'FOXP3': 0, 'GATA3': 1, 'IFNG': 0, 'IL4': 1, 'IL9': 0, 'RORGT': 0, 'TBET': 0}",False,False,1.0,1.0,1.0,[]
56,{'TCR': 1},"{'APC': 1, 'DLL1': 0, 'IFNA_e': 0, 'IFNB_e': 0, 'IFNG_e': 0, 'IL10_e': 0, 'IL15_e': 0, 'IL18_e': 0, 'IL1_e': 0, 'IL21_e': 1, 'IL23_e': 0, 'IL25_e': 0, 'IL27_e': 0, 'IL29_e': 0, 'IL2_e': 0, 'IL33_e': 0, 'IL36_e': 0, 'IL4_e': 0, 'IL6_e': 0, 'IL7_e': 0, 'TGFB_e': 1}","{'BCL6': 0, 'FOXP3': 1, 'GATA3': 0, 'IFNG': 0, 'IL4': 0, 'IL9': 0, 'RORGT': 0, 'TBET': 0}",False,True,0.0,1.0,0.0,"[{'APC': 1, 'BCL6': 0, 'DLL1': 0, 'FOXP3': 1, 'GATA3': 0, 'IFNA_e': 0, 'IFNB_e': 0, 'IFNG': 0, 'IFNG_e': 0, 'IL10_e': 0, 'IL15_e': 0, 'IL18_e': 0, 'IL1RAP': 0, 'IL1_e': 0, 'IL21_e': 1, 'IL23_e': 0, 'IL25_e': 0, 'IL27_e': 0, 'IL29_e': 0, 'IL2_e': 0, 'IL33R': 0, 'IL33_e': 0, 'IL36R': 0, 'IL36_e': 0, 'IL4': 0, 'IL4_e': 0, 'IL6_e': 0, 'IL7_e': 0, 'IL9': 0, 'NFKB': 0, 'RORGT': 0, 'SOCS1': 1, 'ST2': 0, 'STAT1': 1, 'STAT1_2': 1, 'STAT6': 0, 'TBET': 0, 'TGFB': 1, 'TGFBR': 1, 'TGFB_e': 1}]"
57,{'TCR': 1},"{'APC': 1, 'DLL1': 0, 'IFNA_e': 0, 'IFNB_e': 0, 'IFNG_e': 0, 'IL10_e': 0, 'IL15_e': 0, 'IL18_e': 0, 'IL1_e': 0, 'IL21_e': 1, 'IL23_e': 0, 'IL25_e': 0, 'IL27_e': 0, 'IL29_e': 0, 'IL2_e': 0, 'IL33_e': 0, 'IL36_e': 0, 'IL4_e': 0, 'IL6_e': 0, 'IL7_e': 0, 'TGFB_e': 1}","{'BCL6': 1, 'FOXP3': 0, 'GATA3': 0, 'IFNG': 0, 'IL21': 1, 'IL4': 0, 'IL9': 0, 'RORGT': 1, 'TBET': 0}",False,False,1.0,1.0,1.0,[]
58,{'TCR': 1},"{'APC': 1, 'DLL1': 0, 'IFNA_e': 0, 'IFNB_e': 0, 'IFNG_e': 0, 'IL10_e': 0, 'IL15_e': 0, 'IL18_e': 0, 'IL1_e': 0, 'IL21_e': 0, 'IL23_e': 0, 'IL25_e': 0, 'IL27_e': 0, 'IL29_e': 0, 'IL2_e': 0, 'IL33_e': 0, 'IL36_e': 0, 'IL4_e': 1, 'IL6_e': 0, 'IL7_e': 0, 'TGFB_e': 1}","{'BCL6': 0, 'FOXP3': 0, 'GATA3': 0, 'IL9': 0, 'RORGT': 0, 'TBET': 0}",False,False,1.0,1.0,1.0,[]
59,{'TCR': 1},"{'APC': 1, 'DLL1': 0, 'IFNA_e': 0, 'IFNB_e': 0, 'IFNG_e': 0, 'IL10_e': 0, 'IL15_e': 0, 'IL18_e': 0, 'IL1_e': 0, 'IL21_e': 0, 'IL23_e': 0, 'IL25_e': 0, 'IL27_e': 0, 'IL29_e': 0, 'IL2_e': 0, 'IL33_e': 0, 'IL36_e': 0, 'IL4_e': 1, 'IL6_e': 0, 'IL7_e': 0, 'TGFB_e': 1}","{'BCL6': 0, 'FOXP3': 0, 'GATA3': 0, 'IFNG': 1, 'IL4': 0, 'IL9': 0, 'RORGT': 0, 'TBET': 1}",False,False,1.0,1.0,1.0,[]
