Regulator,Target,Sign,Model,Confidence Rank,Constraint,Direct,is_kept
TGFB_e,NFAT,unknown,Fake,6,,,TAKEN_OUT
TGFB_e,STAT5_2,unknown,Fake,6,,,TAKEN_OUT
TGFB_e,IRAK,unknown,Fake,6,,,TAKEN_OUT
TGFB_e,IL2,unknown,Fake,6,,,TAKEN_OUT
TGFB_e,IL2RA,unknown,Fake,6,,,TAKEN_OUT
TGFB_e,IL13,unknown,Fake,6,,,TAKEN_OUT
TGFB_e,FOXP3,unknown,Fake,6,,,TAKEN_OUT
TGFB_e,IL31,unknown,Fake,6,,,TAKEN_OUT
TGFB_e,PRF1,unknown,Fake,6,,,TAKEN_OUT
TGFB_e,ST2,unknown,Fake,6,,,TAKEN_OUT
TGFB_e,GZMB,unknown,Fake,6,,,TAKEN_OUT
TGFB_e,SOCS1,unknown,Fake,6,,,TAKEN_OUT
TGFB_e,STAT5,unknown,Fake,6,,,TAKEN_OUT
TGFB_e,TGFB,unknown,Fake,6,,,TAKEN_OUT
TGFB_e,IL4R_2,unknown,Fake,6,,,TAKEN_OUT
TGFB_e,IL2R_2,unknown,Fake,6,,,TAKEN_OUT
TGFB_e,IL3,unknown,Fake,6,,,TAKEN_OUT
TGFB_e,IL24,unknown,Fake,6,,,TAKEN_OUT
TGFB_e,IFNG_2,unknown,Fake,6,,,TAKEN_OUT
TGFB_e,GATA3,unknown,Fake,6,,,TAKEN_OUT
TGFB_e,RORGT,unknown,Fake,6,,,TAKEN_OUT
TGFB_e,IL10,unknown,Fake,6,,,TAKEN_OUT
TGFB_e,IL23R,unknown,Fake,6,,,TAKEN_OUT
TGFB_e,BCL6,unknown,Fake,6,,,TAKEN_OUT
TGFB_e,IL6R,unknown,Fake,6,,,TAKEN_OUT
TGFB_e,IL35,unknown,Fake,6,,,TAKEN_OUT
TGFB_e,IL25R,unknown,Fake,6,,,TAKEN_OUT
TGFB_e,IL2R,unknown,Fake,6,,,TAKEN_OUT
TGFB_e,CMAF,unknown,Fake,6,,,TAKEN_OUT
TGFB_e,IFNG,unknown,Fake,6,,,TAKEN_OUT
TGFB_e,IL1R1,unknown,Fake,6,,,TAKEN_OUT
TGFB_e,IL10R,unknown,Fake,6,,,TAKEN_OUT
IL4,IL21R,unknown,Fake,6,,,TAKEN_OUT
IL4,IL12R,unknown,Fake,6,,,TAKEN_OUT
IL4,IL18R,unknown,Fake,6,,,TAKEN_OUT
IL4,IL12RB2,unknown,Fake,6,,,TAKEN_OUT
IL4,JAK1,unknown,Fake,6,,,TAKEN_OUT
IL4,IL21,unknown,Fake,6,,,TAKEN_OUT
IL4,IL23,unknown,Fake,6,,,TAKEN_OUT
IL4,TBET,unknown,Fake,6,,,TAKEN_OUT
IL4,THPOK,unknown,Fake,6,,,TAKEN_OUT
IL4,IL4RA_2,unknown,Fake,6,,,TAKEN_OUT
IL4,STAT1,unknown,Fake,6,,,TAKEN_OUT
IL4,IL33R,unknown,Fake,6,,,TAKEN_OUT
IL4,IL22,unknown,Fake,6,,,TAKEN_OUT
IL4,IFNGR_2,unknown,Fake,6,,,TAKEN_OUT
IL4,IRF1,unknown,Fake,6,,,TAKEN_OUT
IL4,STAT4,unknown,Fake,6,,,TAKEN_OUT
IL4,IFNGR,unknown,Fake,6,,,TAKEN_OUT
IL4,PU1,unknown,Fake,6,,,TAKEN_OUT
IL4,EOMES,unknown,Fake,6,,,TAKEN_OUT
IL4,CD8,unknown,Fake,6,,,TAKEN_OUT
IL4,TBET_2,unknown,Fake,6,,,TAKEN_OUT
IL4,NFKB,unknown,Fake,6,,,TAKEN_OUT
IL4,STAT6,unknown,Fake,6,,,TAKEN_OUT
IL4,SMAD3,unknown,Fake,6,,,TAKEN_OUT
IL4,STAT1_2,unknown,Fake,6,,,TAKEN_OUT
IL4,IL4,unknown,Fake,6,,,TAKEN_OUT
IL4,STAT3,unknown,Fake,6,,,TAKEN_OUT
IL4,IL25,unknown,Fake,6,,,TAKEN_OUT
IL4,IL9,unknown,Fake,6,,,TAKEN_OUT
IL4,TGFBR,unknown,Fake,6,,,TAKEN_OUT
IL4,IL5,unknown,Fake,6,,,TAKEN_OUT
IL4,IL1R,unknown,Fake,6,,,TAKEN_OUT
IL4,IL6,unknown,Fake,6,,,TAKEN_OUT
IL4,IL12RB1_2,unknown,Fake,6,,,TAKEN_OUT
IL4,RUNX3,unknown,Fake,6,,,TAKEN_OUT
IL4,IL17,unknown,Fake,6,,,TAKEN_OUT
IL4,CD4,unknown,Fake,6,,,TAKEN_OUT
IL4,SMAD2,unknown,Fake,6,,,TAKEN_OUT
IL4,proliferation,unknown,Fake,6,,,TAKEN_OUT
IL4,NFAT,unknown,Fake,6,,,TAKEN_OUT
IL4,STAT5_2,unknown,Fake,6,,,TAKEN_OUT
IL4,IRAK,unknown,Fake,6,,,TAKEN_OUT
IL4,IL2,unknown,Fake,6,,,TAKEN_OUT
IL4,IL2RA,unknown,Fake,6,,,TAKEN_OUT
IL4,IL13,unknown,Fake,6,,,TAKEN_OUT
IL4,FOXP3,unknown,Fake,6,,,TAKEN_OUT
IL4,IL31,unknown,Fake,6,,,TAKEN_OUT
IL4,PRF1,unknown,Fake,6,,,TAKEN_OUT
IL4,ST2,unknown,Fake,6,,,TAKEN_OUT
IL4,GZMB,unknown,Fake,6,,,TAKEN_OUT
IL4,SOCS1,unknown,Fake,6,,,TAKEN_OUT
IL4,STAT5,unknown,Fake,6,,,TAKEN_OUT
IL4,TGFB,unknown,Fake,6,,,TAKEN_OUT
IL4,IL2R_2,unknown,Fake,6,,,TAKEN_OUT
IL4,IL3,unknown,Fake,6,,,TAKEN_OUT
IL4,IL24,unknown,Fake,6,,,TAKEN_OUT
IL4,IFNG_2,unknown,Fake,6,,,TAKEN_OUT
IL4,GATA3,unknown,Fake,6,,,TAKEN_OUT
IL4,RORGT,unknown,Fake,6,,,TAKEN_OUT
IL4,IL10,unknown,Fake,6,,,TAKEN_OUT
IL4,IL23R,unknown,Fake,6,,,TAKEN_OUT
IL4,BCL6,unknown,Fake,6,,,TAKEN_OUT
IL4,IL6R,unknown,Fake,6,,,TAKEN_OUT
IL4,IL35,unknown,Fake,6,,,TAKEN_OUT
IL4,IL25R,unknown,Fake,6,,,TAKEN_OUT
IL4,IL2R,unknown,Fake,6,,,TAKEN_OUT
IL4,CMAF,unknown,Fake,6,,,TAKEN_OUT
IL4,IFNG,unknown,Fake,6,,,TAKEN_OUT
IL4,IL1R1,unknown,Fake,6,,,TAKEN_OUT
IL4,IL10R,unknown,Fake,6,,,TAKEN_OUT
STAT3,IL21R,unknown,Fake,6,,,TAKEN_OUT
STAT3,IL12R,unknown,Fake,6,,,TAKEN_OUT
STAT3,IL18R,unknown,Fake,6,,,TAKEN_OUT
STAT3,IL12RB2,unknown,Fake,6,,,TAKEN_OUT
STAT3,JAK1,unknown,Fake,6,,,TAKEN_OUT
STAT3,TBET,unknown,Fake,6,,,TAKEN_OUT
STAT3,THPOK,unknown,Fake,6,,,TAKEN_OUT
STAT3,IL4RA_2,unknown,Fake,6,,,TAKEN_OUT
STAT3,STAT1,unknown,Fake,6,,,TAKEN_OUT
STAT3,IL33R,unknown,Fake,6,,,TAKEN_OUT
STAT3,IFNGR_2,unknown,Fake,6,,,TAKEN_OUT
STAT3,IRF1,unknown,Fake,6,,,TAKEN_OUT
STAT3,STAT4,unknown,Fake,6,,,TAKEN_OUT
STAT3,IFNGR,unknown,Fake,6,,,TAKEN_OUT
STAT3,PU1,unknown,Fake,6,,,TAKEN_OUT
STAT3,EOMES,unknown,Fake,6,,,TAKEN_OUT
STAT3,CD8,unknown,Fake,6,,,TAKEN_OUT
STAT3,TBET_2,unknown,Fake,6,,,TAKEN_OUT
STAT3,NFKB,unknown,Fake,6,,,TAKEN_OUT
STAT3,STAT6,unknown,Fake,6,,,TAKEN_OUT
STAT3,SMAD3,unknown,Fake,6,,,TAKEN_OUT
STAT3,STAT1_2,unknown,Fake,6,,,TAKEN_OUT
STAT3,IL4,unknown,Fake,6,,,TAKEN_OUT
STAT3,STAT3,unknown,Fake,6,,,TAKEN_OUT
STAT3,IL25,unknown,Fake,6,,,TAKEN_OUT
STAT3,IL9,unknown,Fake,6,,,TAKEN_OUT
STAT3,TGFBR,unknown,Fake,6,,,TAKEN_OUT
STAT3,IL5,unknown,Fake,6,,,TAKEN_OUT
STAT3,IL1R,unknown,Fake,6,,,TAKEN_OUT
STAT3,IL12RB1_2,unknown,Fake,6,,,TAKEN_OUT
STAT3,RUNX3,unknown,Fake,6,,,TAKEN_OUT
STAT3,IL4R,unknown,Fake,6,,,TAKEN_OUT
STAT3,CD4,unknown,Fake,6,,,TAKEN_OUT
STAT3,SMAD2,unknown,Fake,6,,,TAKEN_OUT
STAT3,proliferation,unknown,Fake,6,,,TAKEN_OUT
STAT3,NFAT,unknown,Fake,6,,,TAKEN_OUT
STAT3,STAT5_2,unknown,Fake,6,,,TAKEN_OUT
STAT3,IRAK,unknown,Fake,6,,,TAKEN_OUT
STAT3,IL2,unknown,Fake,6,,,TAKEN_OUT
STAT3,IL2RA,unknown,Fake,6,,,TAKEN_OUT
STAT3,IL13,unknown,Fake,6,,,TAKEN_OUT
STAT3,FOXP3,unknown,Fake,6,,,TAKEN_OUT
STAT3,IL31,unknown,Fake,6,,,TAKEN_OUT
STAT3,PRF1,unknown,Fake,6,,,TAKEN_OUT
STAT3,ST2,unknown,Fake,6,,,TAKEN_OUT
STAT3,GZMB,unknown,Fake,6,,,TAKEN_OUT
STAT3,SOCS1,unknown,Fake,6,,,TAKEN_OUT
STAT3,STAT5,unknown,Fake,6,,,TAKEN_OUT
STAT3,TGFB,unknown,Fake,6,,,TAKEN_OUT
STAT3,IL4R_2,unknown,Fake,6,,,TAKEN_OUT
STAT3,IL2R_2,unknown,Fake,6,,,TAKEN_OUT
STAT3,IL3,unknown,Fake,6,,,TAKEN_OUT
STAT3,IL24,unknown,Fake,6,,,TAKEN_OUT
STAT3,IFNG_2,unknown,Fake,6,,,TAKEN_OUT
STAT3,GATA3,unknown,Fake,6,,,TAKEN_OUT
STAT3,IL6R,unknown,Fake,6,,,TAKEN_OUT
STAT3,IL35,unknown,Fake,6,,,TAKEN_OUT
STAT3,IL25R,unknown,Fake,6,,,TAKEN_OUT
STAT3,IL2R,unknown,Fake,6,,,TAKEN_OUT
STAT3,IFNG,unknown,Fake,6,,,TAKEN_OUT
STAT3,IL10R,unknown,Fake,6,,,TAKEN_OUT
IL36R,IL21R,unknown,Fake,6,,,TAKEN_OUT
IL36R,IL12R,unknown,Fake,6,,,TAKEN_OUT
IL36R,IL18R,unknown,Fake,6,,,TAKEN_OUT
IL36R,IL12RB2,unknown,Fake,6,,,TAKEN_OUT
IL36R,JAK1,unknown,Fake,6,,,TAKEN_OUT
IL36R,IL21,unknown,Fake,6,,,TAKEN_OUT
IL36R,IL23,unknown,Fake,6,,,TAKEN_OUT
IL36R,THPOK,unknown,Fake,6,,,TAKEN_OUT
IL36R,IL4RA_2,unknown,Fake,6,,,TAKEN_OUT
IL36R,STAT1,unknown,Fake,6,,,TAKEN_OUT
IL36R,IL33R,unknown,Fake,6,,,TAKEN_OUT
IL36R,IL22,unknown,Fake,6,,,TAKEN_OUT
IL36R,IFNGR_2,unknown,Fake,6,,,TAKEN_OUT
IL36R,IRF1,unknown,Fake,6,,,TAKEN_OUT
IL36R,STAT4,unknown,Fake,6,,,TAKEN_OUT
IL36R,IFNGR,unknown,Fake,6,,,TAKEN_OUT
IL36R,PU1,unknown,Fake,6,,,TAKEN_OUT
IL36R,EOMES,unknown,Fake,6,,,TAKEN_OUT
IL36R,CD8,unknown,Fake,6,,,TAKEN_OUT
IL36R,NFKB,unknown,Fake,6,,,TAKEN_OUT
IL36R,STAT6,unknown,Fake,6,,,TAKEN_OUT
IL36R,SMAD3,unknown,Fake,6,,,TAKEN_OUT
IL36R,STAT1_2,unknown,Fake,6,,,TAKEN_OUT
IL36R,IL4,unknown,Fake,6,,,TAKEN_OUT
IL36R,STAT3,unknown,Fake,6,,,TAKEN_OUT
IL36R,IL25,unknown,Fake,6,,,TAKEN_OUT
IL36R,IL9,unknown,Fake,6,,,TAKEN_OUT
IL36R,TGFBR,unknown,Fake,6,,,TAKEN_OUT
IL36R,IL5,unknown,Fake,6,,,TAKEN_OUT
IL36R,IL1R,unknown,Fake,6,,,TAKEN_OUT
IL36R,IL6,unknown,Fake,6,,,TAKEN_OUT
IL36R,IL12RB1_2,unknown,Fake,6,,,TAKEN_OUT
IL36R,RUNX3,unknown,Fake,6,,,TAKEN_OUT
IL36R,IL17,unknown,Fake,6,,,TAKEN_OUT
IL36R,IL4R,unknown,Fake,6,,,TAKEN_OUT
IL36R,CD4,unknown,Fake,6,,,TAKEN_OUT
IL36R,SMAD2,unknown,Fake,6,,,TAKEN_OUT
IL36R,proliferation,unknown,Fake,6,,,TAKEN_OUT
IL36R,NFAT,unknown,Fake,6,,,TAKEN_OUT
IL36R,STAT5_2,unknown,Fake,6,,,TAKEN_OUT
IL36R,IRAK,unknown,Fake,6,,,TAKEN_OUT
IL36R,IL2,unknown,Fake,6,,,TAKEN_OUT
IL36R,IL2RA,unknown,Fake,6,,,TAKEN_OUT
IL36R,IL13,unknown,Fake,6,,,TAKEN_OUT
IL36R,FOXP3,unknown,Fake,6,,,TAKEN_OUT
IL36R,IL31,unknown,Fake,6,,,TAKEN_OUT
IL36R,PRF1,unknown,Fake,6,,,TAKEN_OUT
IL36R,ST2,unknown,Fake,6,,,TAKEN_OUT
IL36R,GZMB,unknown,Fake,6,,,TAKEN_OUT
IL36R,SOCS1,unknown,Fake,6,,,TAKEN_OUT
IL36R,STAT5,unknown,Fake,6,,,TAKEN_OUT
IL36R,TGFB,unknown,Fake,6,,,TAKEN_OUT
IL36R,IL4R_2,unknown,Fake,6,,,TAKEN_OUT
IL36R,IL2R_2,unknown,Fake,6,,,TAKEN_OUT
IL36R,IL3,unknown,Fake,6,,,TAKEN_OUT
IL36R,IL24,unknown,Fake,6,,,TAKEN_OUT
IL36R,IFNG_2,unknown,Fake,6,,,TAKEN_OUT
IL36R,GATA3,unknown,Fake,6,,,TAKEN_OUT
IL36R,RORGT,unknown,Fake,6,,,TAKEN_OUT
IL36R,IL10,unknown,Fake,6,,,TAKEN_OUT
IL36R,IL23R,unknown,Fake,6,,,TAKEN_OUT
IL36R,BCL6,unknown,Fake,6,,,TAKEN_OUT
IL36R,IL6R,unknown,Fake,6,,,TAKEN_OUT
IL36R,IL35,unknown,Fake,6,,,TAKEN_OUT
IL36R,IL25R,unknown,Fake,6,,,TAKEN_OUT
IL36R,IL2R,unknown,Fake,6,,,TAKEN_OUT
IL36R,CMAF,unknown,Fake,6,,,TAKEN_OUT
IL36R,IFNG,unknown,Fake,6,,,TAKEN_OUT
IL36R,IL1R1,unknown,Fake,6,,,TAKEN_OUT
IL36R,IL10R,unknown,Fake,6,,,TAKEN_OUT
IFNAR,IL21R,unknown,Fake,6,,,TAKEN_OUT
IFNAR,IL12R,unknown,Fake,6,,,TAKEN_OUT
IFNAR,IL18R,unknown,Fake,6,,,TAKEN_OUT
IFNAR,IL12RB2,unknown,Fake,6,,,TAKEN_OUT
IFNAR,JAK1,unknown,Fake,6,,,TAKEN_OUT
IFNAR,IL21,unknown,Fake,6,,,TAKEN_OUT
IFNAR,IL23,unknown,Fake,6,,,TAKEN_OUT
IFNAR,TBET,unknown,Fake,6,,,TAKEN_OUT
IFNAR,THPOK,unknown,Fake,6,,,TAKEN_OUT
IFNAR,IL4RA_2,unknown,Fake,6,,,TAKEN_OUT
IFNAR,IL33R,unknown,Fake,6,,,TAKEN_OUT
IFNAR,IL22,unknown,Fake,6,,,TAKEN_OUT
IFNAR,IFNGR_2,unknown,Fake,6,,,TAKEN_OUT
IFNAR,IRF1,unknown,Fake,6,,,TAKEN_OUT
IFNAR,STAT4,unknown,Fake,6,,,TAKEN_OUT
IFNAR,IFNGR,unknown,Fake,6,,,TAKEN_OUT
IFNAR,PU1,unknown,Fake,6,,,TAKEN_OUT
IFNAR,EOMES,unknown,Fake,6,,,TAKEN_OUT
IFNAR,CD8,unknown,Fake,6,,,TAKEN_OUT
IFNAR,TBET_2,unknown,Fake,6,,,TAKEN_OUT
IFNAR,NFKB,unknown,Fake,6,,,TAKEN_OUT
IFNAR,STAT6,unknown,Fake,6,,,TAKEN_OUT
IFNAR,SMAD3,unknown,Fake,6,,,TAKEN_OUT
IFNAR,IL4,unknown,Fake,6,,,TAKEN_OUT
IFNAR,STAT3,unknown,Fake,6,,,TAKEN_OUT
IFNAR,IL25,unknown,Fake,6,,,TAKEN_OUT
IFNAR,IL9,unknown,Fake,6,,,TAKEN_OUT
IFNAR,TGFBR,unknown,Fake,6,,,TAKEN_OUT
IFNAR,IL5,unknown,Fake,6,,,TAKEN_OUT
IFNAR,IL1R,unknown,Fake,6,,,TAKEN_OUT
IFNAR,IL6,unknown,Fake,6,,,TAKEN_OUT
IFNAR,IL12RB1_2,unknown,Fake,6,,,TAKEN_OUT
IFNAR,RUNX3,unknown,Fake,6,,,TAKEN_OUT
IFNAR,IL17,unknown,Fake,6,,,TAKEN_OUT
IFNAR,IL4R,unknown,Fake,6,,,TAKEN_OUT
IFNAR,CD4,unknown,Fake,6,,,TAKEN_OUT
IFNAR,SMAD2,unknown,Fake,6,,,TAKEN_OUT
IFNAR,proliferation,unknown,Fake,6,,,TAKEN_OUT
IFNAR,NFAT,unknown,Fake,6,,,TAKEN_OUT
IFNAR,STAT5_2,unknown,Fake,6,,,TAKEN_OUT
IFNAR,IRAK,unknown,Fake,6,,,TAKEN_OUT
IFNAR,IL2,unknown,Fake,6,,,TAKEN_OUT
IFNAR,IL2RA,unknown,Fake,6,,,TAKEN_OUT
IFNAR,IL13,unknown,Fake,6,,,TAKEN_OUT
IFNAR,FOXP3,unknown,Fake,6,,,TAKEN_OUT
IFNAR,IL31,unknown,Fake,6,,,TAKEN_OUT
IFNAR,PRF1,unknown,Fake,6,,,TAKEN_OUT
IFNAR,ST2,unknown,Fake,6,,,TAKEN_OUT
IFNAR,GZMB,unknown,Fake,6,,,TAKEN_OUT
IFNAR,SOCS1,unknown,Fake,6,,,TAKEN_OUT
IFNAR,STAT5,unknown,Fake,6,,,TAKEN_OUT
IFNAR,TGFB,unknown,Fake,6,,,TAKEN_OUT
IFNAR,IL4R_2,unknown,Fake,6,,,TAKEN_OUT
IFNAR,IL2R_2,unknown,Fake,6,,,TAKEN_OUT
IFNAR,IL3,unknown,Fake,6,,,TAKEN_OUT
IFNAR,IL24,unknown,Fake,6,,,TAKEN_OUT
IFNAR,IFNG_2,unknown,Fake,6,,,TAKEN_OUT
IFNAR,GATA3,unknown,Fake,6,,,TAKEN_OUT
IFNAR,RORGT,unknown,Fake,6,,,TAKEN_OUT
IFNAR,IL10,unknown,Fake,6,,,TAKEN_OUT
IFNAR,IL23R,unknown,Fake,6,,,TAKEN_OUT
IFNAR,BCL6,unknown,Fake,6,,,TAKEN_OUT
IFNAR,IL6R,unknown,Fake,6,,,TAKEN_OUT
IFNAR,IL35,unknown,Fake,6,,,TAKEN_OUT
IFNAR,IL25R,unknown,Fake,6,,,TAKEN_OUT
IFNAR,IL2R,unknown,Fake,6,,,TAKEN_OUT
IFNAR,CMAF,unknown,Fake,6,,,TAKEN_OUT
IFNAR,IFNG,unknown,Fake,6,,,TAKEN_OUT
IFNAR,IL1R1,unknown,Fake,6,,,TAKEN_OUT
IFNAR,IL10R,unknown,Fake,6,,,TAKEN_OUT
IL25,IL21R,unknown,Fake,6,,,TAKEN_OUT
IL25,IL12R,unknown,Fake,6,,,TAKEN_OUT
IL25,IL18R,unknown,Fake,6,,,TAKEN_OUT
IL25,IL12RB2,unknown,Fake,6,,,TAKEN_OUT
IL25,JAK1,unknown,Fake,6,,,TAKEN_OUT
IL25,IL21,unknown,Fake,6,,,TAKEN_OUT
IL25,IL23,unknown,Fake,6,,,TAKEN_OUT
IL25,TBET,unknown,Fake,6,,,TAKEN_OUT
IL25,THPOK,unknown,Fake,6,,,TAKEN_OUT
IL25,IL4RA_2,unknown,Fake,6,,,TAKEN_OUT
IL25,STAT1,unknown,Fake,6,,,TAKEN_OUT
IL25,IL33R,unknown,Fake,6,,,TAKEN_OUT
IL25,IL22,unknown,Fake,6,,,TAKEN_OUT
IL25,IFNGR_2,unknown,Fake,6,,,TAKEN_OUT
IL25,IRF1,unknown,Fake,6,,,TAKEN_OUT
IL25,STAT4,unknown,Fake,6,,,TAKEN_OUT
IL25,IFNGR,unknown,Fake,6,,,TAKEN_OUT
IL25,PU1,unknown,Fake,6,,,TAKEN_OUT
IL25,EOMES,unknown,Fake,6,,,TAKEN_OUT
IL25,CD8,unknown,Fake,6,,,TAKEN_OUT
IL25,TBET_2,unknown,Fake,6,,,TAKEN_OUT
IL25,NFKB,unknown,Fake,6,,,TAKEN_OUT
IL25,STAT6,unknown,Fake,6,,,TAKEN_OUT
IL25,SMAD3,unknown,Fake,6,,,TAKEN_OUT
IL25,STAT1_2,unknown,Fake,6,,,TAKEN_OUT
IL25,IL4,unknown,Fake,6,,,TAKEN_OUT
IL25,STAT3,unknown,Fake,6,,,TAKEN_OUT
IL25,IL25,unknown,Fake,6,,,TAKEN_OUT
IL25,IL9,unknown,Fake,6,,,TAKEN_OUT
IL25,TGFBR,unknown,Fake,6,,,TAKEN_OUT
IL25,IL5,unknown,Fake,6,,,TAKEN_OUT
IL25,IL1R,unknown,Fake,6,,,TAKEN_OUT
IL25,IL6,unknown,Fake,6,,,TAKEN_OUT
IL25,IL12RB1_2,unknown,Fake,6,,,TAKEN_OUT
IL25,RUNX3,unknown,Fake,6,,,TAKEN_OUT
IL25,IL17,unknown,Fake,6,,,TAKEN_OUT
IL25,IL4R,unknown,Fake,6,,,TAKEN_OUT
IL25,CD4,unknown,Fake,6,,,TAKEN_OUT
IL25,SMAD2,unknown,Fake,6,,,TAKEN_OUT
IL25,proliferation,unknown,Fake,6,,,TAKEN_OUT
IL25,NFAT,unknown,Fake,6,,,TAKEN_OUT
IL25,STAT5_2,unknown,Fake,6,,,TAKEN_OUT
IL25,IRAK,unknown,Fake,6,,,TAKEN_OUT
IL25,IL2,unknown,Fake,6,,,TAKEN_OUT
IL25,IL2RA,unknown,Fake,6,,,TAKEN_OUT
IL25,IL13,unknown,Fake,6,,,TAKEN_OUT
IL25,FOXP3,unknown,Fake,6,,,TAKEN_OUT
IL25,IL31,unknown,Fake,6,,,TAKEN_OUT
IL25,PRF1,unknown,Fake,6,,,TAKEN_OUT
IL25,ST2,unknown,Fake,6,,,TAKEN_OUT
IL25,GZMB,unknown,Fake,6,,,TAKEN_OUT
IL25,SOCS1,unknown,Fake,6,,,TAKEN_OUT
IL25,STAT5,unknown,Fake,6,,,TAKEN_OUT
IL25,TGFB,unknown,Fake,6,,,TAKEN_OUT
IL25,IL4R_2,unknown,Fake,6,,,TAKEN_OUT
IL25,IL2R_2,unknown,Fake,6,,,TAKEN_OUT
IL25,IL3,unknown,Fake,6,,,TAKEN_OUT
IL25,IL24,unknown,Fake,6,,,TAKEN_OUT
IL25,IFNG_2,unknown,Fake,6,,,TAKEN_OUT
IL25,GATA3,unknown,Fake,6,,,TAKEN_OUT
IL25,RORGT,unknown,Fake,6,,,TAKEN_OUT
IL25,IL10,unknown,Fake,6,,,TAKEN_OUT
IL25,IL23R,unknown,Fake,6,,,TAKEN_OUT
IL25,BCL6,unknown,Fake,6,,,TAKEN_OUT
IL25,IL6R,unknown,Fake,6,,,TAKEN_OUT
IL25,IL35,unknown,Fake,6,,,TAKEN_OUT
IL25,IL2R,unknown,Fake,6,,,TAKEN_OUT
IL25,CMAF,unknown,Fake,6,,,TAKEN_OUT
IL25,IFNG,unknown,Fake,6,,,TAKEN_OUT
IL25,IL1R1,unknown,Fake,6,,,TAKEN_OUT
IL25,IL10R,unknown,Fake,6,,,TAKEN_OUT
IL15R,IL21R,unknown,Fake,6,,,TAKEN_OUT
IL15R,IL12R,unknown,Fake,6,,,TAKEN_OUT
IL15R,IL18R,unknown,Fake,6,,,TAKEN_OUT
IL15R,IL12RB2,unknown,Fake,6,,,TAKEN_OUT
IL15R,JAK1,unknown,Fake,6,,,TAKEN_OUT
IL15R,IL21,unknown,Fake,6,,,TAKEN_OUT
IL15R,IL23,unknown,Fake,6,,,TAKEN_OUT
IL15R,TBET,unknown,Fake,6,,,TAKEN_OUT
IL15R,THPOK,unknown,Fake,6,,,TAKEN_OUT
IL15R,IL4RA_2,unknown,Fake,6,,,TAKEN_OUT
IL15R,STAT1,unknown,Fake,6,,,TAKEN_OUT
IL15R,IL33R,unknown,Fake,6,,,TAKEN_OUT
IL15R,IL22,unknown,Fake,6,,,TAKEN_OUT
IL15R,IFNGR_2,unknown,Fake,6,,,TAKEN_OUT
IL15R,IRF1,unknown,Fake,6,,,TAKEN_OUT
IL15R,STAT4,unknown,Fake,6,,,TAKEN_OUT
IL15R,IFNGR,unknown,Fake,6,,,TAKEN_OUT
IL15R,PU1,unknown,Fake,6,,,TAKEN_OUT
IL15R,EOMES,unknown,Fake,6,,,TAKEN_OUT
IL15R,CD8,unknown,Fake,6,,,TAKEN_OUT
IL15R,TBET_2,unknown,Fake,6,,,TAKEN_OUT
IL15R,NFKB,unknown,Fake,6,,,TAKEN_OUT
IL15R,STAT6,unknown,Fake,6,,,TAKEN_OUT
IL15R,SMAD3,unknown,Fake,6,,,TAKEN_OUT
IL15R,STAT1_2,unknown,Fake,6,,,TAKEN_OUT
IL15R,IL4,unknown,Fake,6,,,TAKEN_OUT
IL15R,STAT3,unknown,Fake,6,,,TAKEN_OUT
IL15R,IL25,unknown,Fake,6,,,TAKEN_OUT
IL15R,IL9,unknown,Fake,6,,,TAKEN_OUT
IL15R,TGFBR,unknown,Fake,6,,,TAKEN_OUT
IL15R,IL5,unknown,Fake,6,,,TAKEN_OUT
IL15R,IL1R,unknown,Fake,6,,,TAKEN_OUT
IL15R,IL6,unknown,Fake,6,,,TAKEN_OUT
IL15R,IL12RB1_2,unknown,Fake,6,,,TAKEN_OUT
IL15R,RUNX3,unknown,Fake,6,,,TAKEN_OUT
IL15R,IL17,unknown,Fake,6,,,TAKEN_OUT
IL15R,IL4R,unknown,Fake,6,,,TAKEN_OUT
IL15R,CD4,unknown,Fake,6,,,TAKEN_OUT
IL15R,SMAD2,unknown,Fake,6,,,TAKEN_OUT
IL15R,proliferation,unknown,Fake,6,,,TAKEN_OUT
IL15R,NFAT,unknown,Fake,6,,,TAKEN_OUT
IL15R,STAT5_2,unknown,Fake,6,,,TAKEN_OUT
IL15R,IRAK,unknown,Fake,6,,,TAKEN_OUT
IL15R,IL2,unknown,Fake,6,,,TAKEN_OUT
IL15R,IL2RA,unknown,Fake,6,,,TAKEN_OUT
IL15R,IL13,unknown,Fake,6,,,TAKEN_OUT
IL15R,FOXP3,unknown,Fake,6,,,TAKEN_OUT
IL15R,IL31,unknown,Fake,6,,,TAKEN_OUT
IL15R,PRF1,unknown,Fake,6,,,TAKEN_OUT
IL15R,ST2,unknown,Fake,6,,,TAKEN_OUT
IL15R,GZMB,unknown,Fake,6,,,TAKEN_OUT
IL15R,SOCS1,unknown,Fake,6,,,TAKEN_OUT
IL15R,TGFB,unknown,Fake,6,,,TAKEN_OUT
IL15R,IL4R_2,unknown,Fake,6,,,TAKEN_OUT
IL15R,IL2R_2,unknown,Fake,6,,,TAKEN_OUT
IL15R,IL3,unknown,Fake,6,,,TAKEN_OUT
IL15R,IL24,unknown,Fake,6,,,TAKEN_OUT
IL15R,IFNG_2,unknown,Fake,6,,,TAKEN_OUT
IL15R,GATA3,unknown,Fake,6,,,TAKEN_OUT
IL15R,RORGT,unknown,Fake,6,,,TAKEN_OUT
