Regulator,Target,Sign in BBM,Model
FOXO1,BIM,positive,T47D
FOXO3,BIM,positive,T47D
CASP8,CASP3,positive,T47D
CASP9,CASP3,positive,T47D
ERK,CASP8,negative,T47D
FADD,CASP8,positive,T47D
SRC,CASP8,negative,T47D
AKT,CASP9,negative,T47D
CASP3,CASP9,positive,T47D
CASP8,CASP9,positive,T47D
CYCS,CASP9,positive,T47D
ERK,CASP9,negative,T47D
CASP3,CDKN2A,positive,T47D
MYC,CDKN2A,negative,T47D
SRC,CDKN2A,negative,T47D
ABL2,CEBPB,positive,T47D
AKT,CREB1,positive,T47D
SGK1,CREB1,positive,T47D
DC,CTNNB1,negative,T47D
WNT1,CTNNB1,positive,T47D
CDKN2A,CYCLINDc,negative,T47D
EIF4,CYCLINDc,positive,T47D
ERK,CYCLINDc,positive,T47D
ESR1,CYCLINDc,positive,T47D
FOXO3,CYCLINDc,positive,T47D
GSK3B,CYCLINDc,negative,T47D
IGF1,CYCLINDc,positive,T47D
KMT2D,CYCLINDc,positive,T47D
MYC,CYCLINDc,positive,T47D
NRG1,CYCLINDc,positive,T47D
p21,CYCLINDc,negative,T47D
TCF7L2,CYCLINDc,positive,T47D
TEAD1,CYCLINDc,positive,T47D
BAK1,CYCS,positive,T47D
BAX,CYCS,positive,T47D
APC,DC,positive,T47D
GSK3B,DC,positive,T47D
FZD3,DVL1,positive,T47D
YAP1,DVL1,negative,T47D
RB,E2F,negative,T47D
EGF,EGFR,positive,T47D
HER2,EGFR,positive,T47D
HER3,EGFR,positive,T47D
MEK,EGFR,negative,T47D
RELA,EGFR,positive,T47D
EIF4EBP1,EIF4,negative,T47D
MEK,ERK,positive,T47D
AKT,ESR1,positive,T47D
ES,ESR1,positive,T47D
FOXO3,ESR1,positive,T47D
KMT2D,ESR1,positive,T47D
PGR,ESR1,positive,T47D
FAS,FADD,positive,T47D
TRADD,FADD,positive,T47D
AKT,FAS,negative,T47D
FASLG,FAS,positive,T47D
p53,FAS,positive,T47D
FASLG,FASLG,positive,T47D
FOXO3,FASLG,positive,T47D
p53,FASLG,positive,T47D
AKT,FOXO1,negative,T47D
SGK1,FOXO1,negative,T47D
AKT,FOXO3,negative,T47D
WNT1,FZD3,positive,T47D
STAT1,GATA3,negative,T47D
EGFR,GRB2,positive,T47D
HER2,GRB2,positive,T47D
IRS1,GRB2,positive,T47D
SRC,GRB2,positive,T47D
INSR,GRB7,positive,T47D
PRKACA,GRB7,negative,T47D
AKT,GSK3B,negative,T47D
ERK,GSK3B,negative,T47D
ESR1,HER2,positive,T47D
FOXO3,HER2,positive,T47D
HER3,HER2,positive,T47D
HER2,HER3,positive,T47D
NRG1,HER3,positive,T47D
NICD,HES1,positive,T47D
NICD,HEY1,positive,T47D
NF1,HRAS,negative,T47D
PIP3,HRAS,positive,T47D
SOS1,HRAS,positive,T47D
ESR1,HSP90AA1,positive,T47D
PDK1_pm,HSP90AA1,negative,T47D
ESR1,IGF1R,positive,T47D
FOXO3,IGF1R,positive,T47D
IGF1,IGF1R,positive,T47D
NOS3,IL1B,positive,T47D
RELA,IL1B,positive,T47D
IL1B,IL6,positive,T47D
IL6,IL6,positive,T47D
IL6,IL6R,positive,T47D
STAT3,IL6R,positive,T47D
STAT5,IL8,positive,T47D
FOXO3,INSR,positive,T47D
INS,INSR,positive,T47D
IGF1R,IRS1,positive,T47D
INSR,IRS1,positive,T47D
S6K,IRS1,negative,T47D
mTORC1,EIF4EBP1,negative,T47D
ABL1,JAK2,positive,T47D
IL6R,JAK2,positive,T47D
IL8,JAK2,positive,T47D
IRS1,JAK2,positive,T47D
ERK,JUN,positive,T47D
MAPK8,JUN,positive,T47D
PPARG,JUN,positive,T47D
RELA,JUN,positive,T47D
AKT,KMT2D,negative,T47D
PAX7,KMT2D,positive,T47D
EGFR,KRT14,positive,T47D
PAK2,KRT14,positive,T47D
LCK,LATS1,positive,T47D
NF2,LATS1,positive,T47D
AKT,LCK,negative,T47D
ERK,LCK,positive,T47D
RAC1,MAPK8,positive,T47D
RND1,MAPK8,positive,T47D
ERK,MCL1,positive,T47D
GSK3B,MCL1,negative,T47D
AKT,MDM2,positive,T47D
p53,MDM2,positive,T47D
RAF1,MEK,positive,T47D
IGF1,mTORC1,positive,T47D
NRG1,mTORC1,positive,T47D
PIM,mTORC1,positive,T47D
RHEB,mTORC1,positive,T47D
PIP3,mTORC2,positive,T47D
S6K,mTORC2,negative,T47D
CTNNB1,MYC,positive,T47D
EIF4,MYC,positive,T47D
ERK,MYC,positive,T47D
ESR1,MYC,positive,T47D
FOXO3,MYC,positive,T47D
GSK3B,MYC,negative,T47D
IGF1,MYC,positive,T47D
JAK2,MYC,positive,T47D
KMT2D,MYC,positive,T47D
NRG1,MYC,positive,T47D
PIM,MYC,positive,T47D
STAT3,MYC,positive,T47D
HES1,MYOD1,negative,T47D
NF2,MYOD1,negative,T47D
HEY1,MYOG,negative,T47D
MYOD1,MYOG,positive,T47D
NOTCH1,NICD,positive,T47D
SGK1,NEDD4L,negative,T47D
TWIST1,NF1,negative,T47D
NEDD4L,NF2,positive,T47D
NOTCH1,NFKB,positive,T47D
AKT,NOS3,positive,T47D
HSP90AA1,NOS3,positive,T47D
CTNNB1,NOTCH1,positive,T47D
DLL,NOTCH1,positive,T47D
LCK,NOTCH1,positive,T47D
AKT,p21,negative,T47D
ERK,p21,negative,T47D
MYC,p21,negative,T47D
MDM2,p53,negative,T47D
PDK1_pm,PAK1,positive,T47D
RAC1,PAK1,positive,T47D
TCF7L2,PAK1,positive,T47D
RAC1,PAK2,positive,T47D
SRC,PAK2,positive,T47D
MYOG,PAX7,negative,T47D
IGF1R,PDK1_pm,positive,T47D
PIP3,PDK1_pm,positive,T47D
ERK,PGR,negative,T47D
ESR1,PGR,negative,T47D
PG,PGR,positive,T47D
EGFR,PI3K,positive,T47D
ESR1,PI3K,positive,T47D
IGF1R,PI3K,positive,T47D
IRS1,PI3K,positive,T47D
NFKB,PIM,positive,T47D
PI3K,PIP3,positive,T47D
PTEN,PIP3,negative,T47D
CEBPB,PPARG,positive,T47D
GATA3,PPARG,negative,T47D
CYCLINDc,RB,negative,T47D
STK11,PRKAA2,positive,T47D
AKT,PRKACA,positive,T47D
WNT1,PRKACA,positive,T47D
S6K,PTEN,positive,T47D
SRC,PTEN,negative,T47D
AKT,RAC1,negative,T47D
DVL1,RAC1,positive,T47D
PI3K,RAC1,positive,T47D
HRAS,RAF1,positive,T47D
RAS,RAF1,positive,T47D
PIP3,RAS,positive,T47D
SOS1,RAS,positive,T47D
NFKB,RELA,positive,T47D
PIM,RELA,positive,T47D
TSC2,RHEB,negative,T47D
DVL1,RND1,positive,T47D
GRB7,RND1,positive,T47D
ERK,S6K,positive,T47D
mTORC1,S6K,positive,T47D
mTORC1,SGK1,positive,T47D
mTORC2,SGK1,positive,T47D
PDK1_pm,SGK1,positive,T47D
GRB2,SOS1,positive,T47D
PRKACA,SRC,positive,T47D
EGFR,STAT1,positive,T47D
JAK2,STAT1,positive,T47D
SRC,STAT1,positive,T47D
IL1B,STAT3,positive,T47D
JAK2,STAT3,positive,T47D
MAPK8,STAT3,positive,T47D
SRC,STAT3,positive,T47D
JAK2,STAT5,positive,T47D
ERK,STK11,negative,T47D
FOXO3,STK11,positive,T47D
CTNNB1,TCF7L2,positive,T47D
JUN,TCF7L2,positive,T47D
YAP1,TEAD1,positive,T47D
KRT14,TRADD,negative,T47D
AKT,TSC2,negative,T47D
ERK,TSC2,negative,T47D
GSK3B,TSC2,positive,T47D
PRKAA2,TSC2,positive,T47D
ERK,TWIST1,positive,T47D
ABL1,YAP1,positive,T47D
LATS1,YAP1,negative,T47D
